user,rank,course,score,is_test_positive
U_10000168,1,C_course-v1:TsinghuaX+30240184+sp,3.4444022543972834,1
U_10000168,2,C_course-v1:TsinghuaX+10421075X_2015_2+sp,2.799669965430876,0
U_10000168,3,C_course-v1:MITx+6_00_1x+sp,2.6673069454431606,0
U_10000168,4,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,2.4046406558881834,0
U_10000168,5,C_course-v1:TsinghuaX+30700313X+sp,1.967778377707045,0
U_10000168,6,C_course-v1:TsinghuaX+10421102x_2015_T2+sp,1.7444590740004993,0
U_10000168,7,C_course-v1:TsinghuaX+00740123_X+sp,1.7034718345992657,0
U_10000168,8,C_course-v1:TsinghuaX+10421084X_2015_2+sp,1.6343496785512648,0
U_10000168,9,C_course-v1:TsinghuaX+90640012X+sp,1.5338669493156878,0
U_10000168,10,C_course-v1:TsinghuaX+20330334X_2015_2+sp,1.4933023420414135,0
U_10000168,11,C_course-v1:TsinghuaX+00740043_1x+2019_T1,1.4320966443646639,0
U_10000168,12,C_course-v1:TsinghuaX+10421094X+2019_T1,1.3428989618952945,0
U_10000168,13,C_course-v1:TsinghuaX+20430064X+sp,1.310666640355119,0
U_10000168,14,C_course-v1:TsinghuaX+20120143X+sp,1.1950387226229426,0
U_10000168,15,C_course-v1:BIT+PHY1701702+sp,1.1847231909950395,0
U_10000168,16,C_course-v1:TsinghuaX+20220332X+sp,1.1593307167969524,0
U_10000168,17,C_course-v1:TsinghuaX+30640014X+2019_T1,1.1447084737261568,0
U_10000168,18,C_course-v1:TsinghuaX+00612642X+sp,1.12600634641269,0
U_10000168,19,C_course-v1:TsinghuaX+20250103X+sp,1.0939085861043936,0
U_10000168,20,C_course-v1:TsinghuaX+60240013X+sp,0.9351321306314765,0
U_10000205,1,C_course-v1:TsinghuaX+30240184_2X+sp,5.3913930493228275,0
U_10000205,2,C_course-v1:TsinghuaX+70150023X+sp,3.8893101770786043,1
U_10000205,3,C_course-v1:TsinghuaX+20440333X+sp,2.380164510109295,0
U_10000205,4,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,2.367679108357675,0
U_10000205,5,C_course-v1:TsinghuaX+00740123_X+sp,2.3553782256118074,0
U_10000205,6,C_course-v1:MITx+6_00_1x+sp,2.1484677441103357,0
U_10000205,7,C_course-v1:TsinghuaX+34100325_X+sp,1.7398963976096644,0
U_10000205,8,C_course-v1:NJU+C1026+2016_T2,1.5944230140242421,0
U_10000205,9,C_course-v1:TsinghuaX+20430064X+sp,1.2674890138277897,0
U_10000205,10,C_course-v1:UC_BerkeleyX+CS_184_1x+sp,0.974387438805745,0
U_10000205,11,C_course-v1:TsinghuaX+00701032X+sp,0.8660510301520897,0
U_10000205,12,C_course-v1:SCUT+145033+sp,0.8571543051809285,0
U_10000205,13,C_course-v1:TsinghuaX+00690092X+sp,0.8331296059607681,0
U_10000205,14,C_course-v1:TsinghuaX+60240202X+sp,0.8283350579232768,0
U_10000205,15,C_course-v1:TsinghuaX+0350161X_2015_T2+sp,0.7931478336196833,0
U_10000205,16,C_course-v1:TsinghuaX+10421075X_2015_2+sp,0.7920297102040207,0
U_10000205,17,C_course-v1:TsinghuaX+THESIS2015X+2015_T1,0.7676064194976647,0
U_10000205,18,C_course-v1:TsinghuaX+10421094X_2015_2+sp,0.7334702969450864,0
U_10000205,19,C_course-v1:TsinghuaX+80150193X+sp,0.6726575066911459,0
U_10000205,20,C_course-v1:NBCC+NBCC000201+_sp,0.6522668991970547,0
U_10000325,1,C_course-v1:SCUT+145055+sp,18.577131415887948,0
U_10000325,2,C_course-v1:TsinghuaX+30240184_2X+sp,17.59464983833066,0
U_10000325,3,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,10.92698800152141,1
U_10000325,4,C_course-v1:TsinghuaX+30240243X+sp,10.094824577800164,0
U_10000325,5,C_course-v1:TsinghuaX+00740123_X+sp,6.920602329449552,0
U_10000325,6,C_course-v1:MITx+6_00_1x+sp,6.123177304849926,0
U_10000325,7,C_course-v1:SCUT+145033+sp,5.625142631662708,1
U_10000325,8,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,4.079767172223852,0
U_10000325,9,C_course-v1:TsinghuaX+34100325_X+sp,2.8426552561292047,0
U_10000325,10,C_course-v1:TsinghuaX+2018032801X+2018_T1,2.809777615589367,0
U_10000325,11,C_course-v1:TsinghuaX+20250103X+sp,2.382141964441096,0
U_10000325,12,C_course-v1:TsinghuaX+20250064+sp,2.026909629332274,0
U_10000325,13,C_course-v1:NJU+C1026+2016_T2,1.928993608780432,0
U_10000325,14,C_course-v1:TsinghuaX+00740113_1X+sp,1.6725382307156507,0
U_10000325,15,C_course-v1:TsinghuaX+10421094X_2015_2+sp,1.5745627075877988,0
U_10000325,16,C_course-v1:TsinghuaX+60240013X+sp,1.5131755852406186,0
U_10000325,17,C_course-v1:UC_BerkeleyX+CS_184_1x+sp,1.4054958289225445,0
U_10000325,18,C_course-v1:TsinghuaX+10430494X_2015_2+sp,1.3457542342879592,0
U_10000325,19,C_course-v1:UST+UST001+sp,1.3407146321269927,0
U_10000325,20,C_course-v1:TsinghuaX+30640014X+sp,1.3057138544302647,0
U_10000462,1,C_course-v1:TsinghuaX+30240184+sp,15.20420764603712,0
U_10000462,2,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,12.131836869679015,0
U_10000462,3,C_course-v1:TsinghuaX+20250064+sp,11.58269713221165,0
U_10000462,4,C_course-v1:TsinghuaX+20250103X+sp,10.173719398219646,0
U_10000462,5,C_course-v1:TsinghuaX+30240243X+sp,6.61254671929594,0
U_10000462,6,C_course-v1:TsinghuaX+00740123_X+sp,5.858079079600247,0
U_10000462,7,C_course-v1:TsinghuaX+30640014X+sp,5.539619768279495,0
U_10000462,8,C_course-v1:TsinghuaX+20220053X_2015_T2+sp,5.410538860644342,0
U_10000462,9,C_course-v1:GIT+0500002402+2019_T1,4.445256581313967,0
U_10000462,10,C_course-v1:TsinghuaX+10430484X_2015_2+sp,4.437594599035494,0
U_10000462,11,C_course-v1:TsinghuaX+10421094X_2015_2+sp,4.282090367277968,0
U_10000462,12,C_course-v1:TsinghuaX+34100325_X+sp,3.9602682390852606,0
U_10000462,13,C_course-v1:TsinghuaX+10421075X_2015_2+sp,3.906751354367815,0
U_10000462,14,C_course-v1:MITx+6_002x+sp,3.6921116598247474,0
U_10000462,15,C_course-v1:UST+UST001+sp,3.2312886050986953,0
U_10000462,16,C_course-v1:TsinghuaX+20120143X+sp,2.8392228025083384,0
U_10000462,17,C_course-v1:TsinghuaX+10430494X_2015_2+sp,2.741122069166056,0
U_10000462,18,C_course-v1:TsinghuaX+00740043_1x+2019_T1,2.613038891975636,0
U_10000462,19,C_course-v1:TsinghuaX+AP000005X+2019_T1,2.599293182046985,0
U_10000462,20,C_course-v1:TsinghuaX+30240184_2X+sp,2.4800530584565177,0
U_10000566,1,C_course-v1:TsinghuaX+30640014X+2019_T1,12.957231012637402,0
U_10000566,2,C_course-v1:TsinghuaX+90640012X+sp,12.113686049606851,0
U_10000566,3,C_course-v1:TsinghuaX+20220332X+sp,7.505867785301148,0
U_10000566,4,C_course-v1:TsinghuaX+30700313X+sp,7.193859037002824,0
U_10000566,5,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,6.2755681382825355,0
U_10000566,6,C_course-v1:TsinghuaX+00612642X+sp,5.004122199330975,0
U_10000566,7,C_course-v1:MITx+6_00_1x+sp,4.6130061289934865,0
U_10000566,8,C_course-v1:TsinghuaX+30240184+sp,4.496892595889612,0
U_10000566,9,C_course-v1:HUBU+2017022703X+sp,3.978785667617067,0
U_10000566,10,C_course-v1:TsinghuaX+80000271X+sp,2.6851685092476267,0
U_10000566,11,C_course-v1:TsinghuaX+00740123_X+sp,2.6499396091006173,0
U_10000566,12,C_course-v1:TsinghuaX+30240243X+sp,2.223059800384091,0
U_10000566,13,C_course-v1:FudanX+SOSC120007+sp,2.017036366741186,0
U_10000566,14,C_course-v1:TsinghuaX+80515522X+sp,1.9769596086743482,0
U_10000566,15,C_course-v1:TsinghuaX+20120143X+sp,1.9426476578833802,0
U_10000566,16,C_course-v1:UQx+Think101x+sp,1.9221205597681206,0
U_10000566,17,C_course-v1:TsinghuaX+10610193X+sp,1.8825712097302154,0
U_10000566,18,C_course-v1:CSU+2018020201X+sp,1.7618171715844169,0
U_10000566,19,C_course-v1:TsinghuaX+20440333X+sp,1.7134459985783002,0
U_10000566,20,C_course-v1:TsinghuaX+00040132X+sp,1.6996378263100362,0
U_10000598,1,C_course-v1:TsinghuaX+30240243X+sp,13.386897394740872,0
U_10000598,2,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,7.1608839222257235,1
U_10000598,3,C_course-v1:MITx+6_00_1x+sp,6.948290375074146,0
U_10000598,4,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,5.435370081167388,1
U_10000598,5,C_course-v1:TsinghuaX+00740123_X+sp,4.5901882204916955,0
U_10000598,6,C_course-v1:TsinghuaX+34100325_X+sp,4.4909548803877595,0
U_10000598,7,C_course-v1:TsinghuaX+60240013X+sp,2.8505385931353526,0
U_10000598,8,C_course-v1:TsinghuaX+10421094X_2015_2+sp,2.090205955854275,0
