user,rank,course,score,is_test_positive
U_10000168,1,C_course-v1:TsinghuaX+30240184+sp,6.59511320459242,1
U_10000168,2,C_course-v1:TsinghuaX+10421075X_2015_2+sp,5.203030017040352,0
U_10000168,3,C_course-v1:MITx+6_00_1x+sp,5.1283213472021565,0
U_10000168,4,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,4.415639183382518,0
U_10000168,5,C_course-v1:TsinghuaX+30700313X+sp,3.6062524145284915,0
U_10000168,6,C_course-v1:TsinghuaX+00740123_X+sp,3.409299626848769,0
U_10000168,7,C_course-v1:TsinghuaX+10421084X_2015_2+sp,3.23162500405883,0
U_10000168,8,C_course-v1:TsinghuaX+00740043_1x+2019_T1,3.15853644880079,0
U_10000168,9,C_course-v1:TsinghuaX+10421102x_2015_T2+sp,3.0886251108364893,0
U_10000168,10,C_course-v1:TsinghuaX+20430064X+sp,2.938348919525103,0
U_10000168,11,C_course-v1:TsinghuaX+20330334X_2015_2+sp,2.8938685269999547,0
U_10000168,12,C_course-v1:TsinghuaX+90640012X+sp,2.8831550381255484,0
U_10000168,13,C_course-v1:TsinghuaX+10421094X+2019_T1,2.824411586155407,0
U_10000168,14,C_course-v1:TsinghuaX+30640014X+2019_T1,2.5290218102646365,0
U_10000168,15,C_course-v1:TsinghuaX+20250103X+sp,2.4984049508668447,0
U_10000168,16,C_course-v1:TsinghuaX+00612642X+sp,2.364975632789501,0
U_10000168,17,C_course-v1:BIT+PHY1701702+sp,2.33612855790918,0
U_10000168,18,C_course-v1:TsinghuaX+20120143X+sp,2.295566669337562,0
U_10000168,19,C_course-v1:TsinghuaX+20220332X+sp,2.2886773848168924,0
U_10000168,20,C_course-v1:TsinghuaX+60240013X+sp,2.1338244540938875,0
U_10000205,1,C_course-v1:TsinghuaX+30240184_2X+sp,9.716072159040566,0
U_10000205,2,C_course-v1:TsinghuaX+70150023X+sp,6.291312007869813,1
U_10000205,3,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,5.547135919855627,0
U_10000205,4,C_course-v1:MITx+6_00_1x+sp,5.035686516272061,0
U_10000205,5,C_course-v1:TsinghuaX+00740123_X+sp,4.701971147583141,0
U_10000205,6,C_course-v1:TsinghuaX+34100325_X+sp,3.801363489508968,0
U_10000205,7,C_course-v1:NJU+C1026+2016_T2,3.054854844389197,0
U_10000205,8,C_course-v1:TsinghuaX+20440333X+sp,2.59707052717454,0
U_10000205,9,C_course-v1:SCUT+145033+sp,2.0130688131711882,0
U_10000205,10,C_course-v1:TsinghuaX+20430064X+sp,1.9796194146663826,0
U_10000205,11,C_course-v1:TsinghuaX+60240202X+sp,1.8901595376454414,0
U_10000205,12,C_course-v1:TsinghuaX+10421094X_2015_2+sp,1.7593525858520276,0
U_10000205,13,C_course-v1:TsinghuaX+00690092X+sp,1.7089118018969696,0
U_10000205,14,C_course-v1:TsinghuaX+00701032X+sp,1.7050642404214125,0
U_10000205,15,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,1.6750458516240494,0
U_10000205,16,C_course-v1:TsinghuaX+10421075X_2015_2+sp,1.6387157082988304,0
U_10000205,17,C_course-v1:TsinghuaX+30640014X+sp,1.5569917740311987,0
U_10000205,18,C_course-v1:NBCC+NBCC000201+_sp,1.5339419126109388,0
U_10000205,19,C_course-v1:UC_BerkeleyX+CS_184_1x+sp,1.4929771315632163,0
U_10000205,20,C_course-v1:TsinghuaX+00740113_1X+sp,1.4591324293960175,0
U_10000325,1,C_course-v1:TsinghuaX+30240184_2X+sp,12.974396779925915,0
U_10000325,2,C_course-v1:SCUT+145055+sp,10.878314405455344,0
U_10000325,3,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,7.415488166617033,1
U_10000325,4,C_course-v1:TsinghuaX+30240243X+sp,6.435428724751384,0
U_10000325,5,C_course-v1:MITx+6_00_1x+sp,4.40558296805689,0
U_10000325,6,C_course-v1:TsinghuaX+00740123_X+sp,4.344018174349545,0
U_10000325,7,C_course-v1:SCUT+145033+sp,3.0241073438333625,1
U_10000325,8,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,2.0662930221316067,0
U_10000325,9,C_course-v1:TsinghuaX+2018032801X+2018_T1,1.6846178543121004,0
U_10000325,10,C_course-v1:TsinghuaX+34100325_X+sp,1.2051136340572457,0
U_10000325,11,C_course-v1:TsinghuaX+20250103X+sp,1.1822485774063105,0
U_10000325,12,C_course-v1:TsinghuaX+20250064+sp,0.898316057321602,0
U_10000325,13,C_course-v1:TsinghuaX+70240183x_1+2019_T1,0.8839279595776436,0
U_10000325,14,C_course-v1:TsinghuaX+00740123X+2019_T1,0.81819692656616,0
U_10000325,15,C_course-v1:TsinghuaX+00740113_1X+sp,0.8080813935362963,0
U_10000325,16,C_course-v1:NJU+C1026+2016_T2,0.8075599105970982,0
U_10000325,17,C_course-v1:TsinghuaX+60240013X+sp,0.798569031557594,0
U_10000325,18,C_course-v1:TsinghuaX+10421094X_2015_2+sp,0.784086777288274,0
U_10000325,19,C_course-v1:UESTC+E2216230+2018_T2,0.7540347933425537,0
U_10000325,20,C_course-v1:XJTU+COMP200853+sp,0.7366720068734606,0
U_10000462,1,C_course-v1:TsinghuaX+30240184+sp,10.581842275203904,0
U_10000462,2,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,8.185437167595394,0
U_10000462,3,C_course-v1:TsinghuaX+20250064+sp,7.906428415565661,0
U_10000462,4,C_course-v1:TsinghuaX+20250103X+sp,6.902254087662815,0
U_10000462,5,C_course-v1:TsinghuaX+00740123_X+sp,3.6265258134821403,0
