user,rank,course,score,is_test_positive
U_10000168,1,C_course-v1:TsinghuaX+30240184+sp,7.394734305720893,1
U_10000168,2,C_course-v1:TsinghuaX+10421075X_2015_2+sp,5.821656640671424,0
U_10000168,3,C_course-v1:MITx+6_00_1x+sp,5.711700193453188,0
U_10000168,4,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,5.088951867313763,0
U_10000168,5,C_course-v1:TsinghuaX+30700313X+sp,4.034361672939999,0
U_10000168,6,C_course-v1:TsinghuaX+00740123_X+sp,3.910618607421024,0
U_10000168,7,C_course-v1:TsinghuaX+10421084X_2015_2+sp,3.693173725406851,0
U_10000168,8,C_course-v1:TsinghuaX+10421102x_2015_T2+sp,3.4415658843839254,0
U_10000168,9,C_course-v1:TsinghuaX+90640012X+sp,3.4208164930632137,0
U_10000168,10,C_course-v1:TsinghuaX+00740043_1x+2019_T1,3.36730699865562,0
U_10000168,11,C_course-v1:TsinghuaX+20330334X_2015_2+sp,3.3087912101262753,0
U_10000168,12,C_course-v1:TsinghuaX+20430064X+sp,3.1691375394746952,0
U_10000168,13,C_course-v1:TsinghuaX+20120143X+sp,2.8605982640772147,0
U_10000168,14,C_course-v1:TsinghuaX+10421094X+2019_T1,2.841302301636295,0
U_10000168,15,C_course-v1:TsinghuaX+20250103X+sp,2.8366665100395743,0
U_10000168,16,C_course-v1:TsinghuaX+20220332X+sp,2.8292432656501028,0
U_10000168,17,C_course-v1:BIT+PHY1701702+sp,2.724502188842492,0
U_10000168,18,C_course-v1:TsinghuaX+30640014X+2019_T1,2.684863404917559,0
U_10000168,19,C_course-v1:TsinghuaX+00612642X+sp,2.6227441959856463,0
U_10000168,20,C_course-v1:TsinghuaX+60240013X+sp,2.2481798648817812,0
U_10000205,1,C_course-v1:TsinghuaX+30240184_2X+sp,11.011406829084356,0
U_10000205,2,C_course-v1:TsinghuaX+70150023X+sp,7.005618023048355,1
U_10000205,3,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,6.238606803181992,0
U_10000205,4,C_course-v1:MITx+6_00_1x+sp,5.595946281605784,0
U_10000205,5,C_course-v1:TsinghuaX+00740123_X+sp,5.3197769968109005,0
U_10000205,6,C_course-v1:TsinghuaX+34100325_X+sp,4.526708579070639,0
U_10000205,7,C_course-v1:NJU+C1026+2016_T2,3.6079525931552894,0
U_10000205,8,C_course-v1:TsinghuaX+20440333X+sp,2.803215936972034,0
U_10000205,9,C_course-v1:SCUT+145033+sp,2.293081178901008,0
U_10000205,10,C_course-v1:TsinghuaX+60240202X+sp,2.148579635944139,0
U_10000205,11,C_course-v1:TsinghuaX+20430064X+sp,2.1222906657788334,0
U_10000205,12,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,2.0510762963670275,0
U_10000205,13,C_course-v1:TsinghuaX+10421094X_2015_2+sp,2.010101532898858,0
U_10000205,14,C_course-v1:TsinghuaX+00690092X+sp,1.9363241438213972,0
U_10000205,15,C_course-v1:TsinghuaX+30640014X+sp,1.8592074604978746,0
U_10000205,16,C_course-v1:TsinghuaX+10421075X_2015_2+sp,1.783952239205856,0
U_10000205,17,C_course-v1:TsinghuaX+00701032X+sp,1.726788794495963,0
U_10000205,18,C_course-v1:UC_BerkeleyX+CS_184_1x+sp,1.7064875640755766,0
U_10000205,19,C_course-v1:NBCC+NBCC000201+_sp,1.6942754047778772,0
U_10000205,20,C_course-v1:TsinghuaX+00740113_1X+sp,1.6382708200377984,0
U_10000325,1,C_course-v1:TsinghuaX+30240184_2X+sp,14.574130154004617,0
U_10000325,2,C_course-v1:SCUT+145055+sp,12.03893803804882,0
U_10000325,3,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,8.243956755575852,1
U_10000325,4,C_course-v1:TsinghuaX+30240243X+sp,7.64233483306404,0
U_10000325,5,C_course-v1:TsinghuaX+00740123_X+sp,4.958666096164442,0
U_10000325,6,C_course-v1:MITx+6_00_1x+sp,4.738255627427357,0
U_10000325,7,C_course-v1:SCUT+145033+sp,3.487341085652756,1
U_10000325,8,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,2.477423839226423,0
U_10000325,9,C_course-v1:TsinghuaX+2018032801X+2018_T1,1.8462396177130391,0
U_10000325,10,C_course-v1:TsinghuaX+34100325_X+sp,1.6474798632251817,0
U_10000325,11,C_course-v1:TsinghuaX+20250103X+sp,1.4073218626918205,0
U_10000325,12,C_course-v1:TsinghuaX+20250064+sp,1.152649195696945,0
U_10000325,13,C_course-v1:NJU+C1026+2016_T2,1.0317974390084788,0
U_10000325,14,C_course-v1:TsinghuaX+10421094X_2015_2+sp,0.9479828082557492,0
U_10000325,15,C_course-v1:TsinghuaX+00740113_1X+sp,0.9060142580031095,0
U_10000325,16,C_course-v1:TsinghuaX+60240013X+sp,0.8768549560333418,0
U_10000325,17,C_course-v1:UC_BerkeleyX+CS_184_1x+sp,0.8104332417518381,0
U_10000325,18,C_course-v1:UESTC+E2216230+2018_T2,0.7949011924642585,0
U_10000325,19,C_course-v1:TsinghuaX+30640014X+sp,0.7559310621729932,0
U_10000325,20,C_course-v1:TsinghuaX+10430494X_2015_2+sp,0.7331058924410738,0
U_10000462,1,C_course-v1:TsinghuaX+30240184+sp,11.68340119102397,0
U_10000462,2,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,9.102558563442773,0
U_10000462,3,C_course-v1:TsinghuaX+20250064+sp,8.58920148455713,0
U_10000462,4,C_course-v1:TsinghuaX+20250103X+sp,7.448479113329217,0
U_10000462,5,C_course-v1:TsinghuaX+30240243X+sp,4.376775939313667,0
U_10000462,6,C_course-v1:TsinghuaX+00740123_X+sp,4.142339175898094,0
U_10000462,7,C_course-v1:TsinghuaX+30640014X+sp,3.9348422724203163,0
U_10000462,8,C_course-v1:TsinghuaX+20220053X_2015_T2+sp,3.9310126842955957,0
U_10000462,9,C_course-v1:GIT+0500002402+2019_T1,3.2362425117127613,0
U_10000462,10,C_course-v1:TsinghuaX+10421094X_2015_2+sp,3.140132035226887,0
U_10000462,11,C_course-v1:TsinghuaX+10430484X_2015_2+sp,3.103212750960382,0
U_10000462,12,C_course-v1:TsinghuaX+10421075X_2015_2+sp,2.8310681600765233,0
U_10000462,13,C_course-v1:MITx+6_002x+sp,2.78552316749464,0
U_10000462,14,C_course-v1:TsinghuaX+34100325_X+sp,2.6759705918938885,0
U_10000462,15,C_course-v1:UST+UST001+sp,2.1930611940535516,0
U_10000462,16,C_course-v1:TsinghuaX+AP000005X+2019_T1,1.999106609075477,0
U_10000462,17,C_course-v1:TsinghuaX+20120143X+sp,1.9347820841070824,0
U_10000462,18,C_course-v1:TsinghuaX+00740043_1x+2019_T1,1.8984667616629214,0
U_10000462,19,C_course-v1:GIT+0500002402+2018_T2,1.8140637705710398,0
