user,rank,course,score,is_test_positive
U_10000168,1,C_course-v1:TsinghuaX+30240184+sp,11.510505676269531,1
U_10000168,2,C_course-v1:MITx+6_00_1x+sp,8.887587547302246,0
U_10000168,3,C_course-v1:TsinghuaX+10421075X_2015_2+sp,8.866617202758789,0
U_10000168,4,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,7.9494547843933105,0
U_10000168,5,C_course-v1:TsinghuaX+30700313X+sp,6.438483238220215,0
U_10000168,6,C_course-v1:TsinghuaX+00740123_X+sp,6.190528869628906,0
U_10000168,7,C_course-v1:TsinghuaX+10421084X_2015_2+sp,5.58820915222168,0
U_10000168,8,C_course-v1:TsinghuaX+90640012X+sp,5.5486273765563965,0
U_10000168,9,C_course-v1:TsinghuaX+20330334X_2015_2+sp,5.138773441314697,0
U_10000168,10,C_course-v1:TsinghuaX+10421102x_2015_T2+sp,5.106720447540283,0
U_10000168,11,C_course-v1:TsinghuaX+00740043_1x+2019_T1,4.961170673370361,0
U_10000168,12,C_course-v1:TsinghuaX+20120143X+sp,4.8294677734375,0
U_10000168,13,C_course-v1:TsinghuaX+20220332X+sp,4.828123092651367,0
U_10000168,14,C_course-v1:TsinghuaX+20430064X+sp,4.690629482269287,0
U_10000168,15,C_course-v1:TsinghuaX+20250103X+sp,4.46118688583374,0
U_10000168,16,C_course-v1:BIT+PHY1701702+sp,4.245660305023193,0
U_10000168,17,C_course-v1:TsinghuaX+00612642X+sp,4.229842662811279,0
U_10000168,18,C_course-v1:TsinghuaX+30640014X+2019_T1,4.069843292236328,0
U_10000168,19,C_course-v1:TsinghuaX+10421094X+2019_T1,3.848405599594116,0
U_10000168,20,C_course-v1:TsinghuaX+20440333X+sp,3.8153703212738037,0
U_10000205,1,C_course-v1:TsinghuaX+30240184_2X+sp,16.917774200439453,0
U_10000205,2,C_course-v1:TsinghuaX+70150023X+sp,11.03377914428711,1
U_10000205,3,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,9.668412208557129,0
U_10000205,4,C_course-v1:MITx+6_00_1x+sp,8.607550621032715,0
U_10000205,5,C_course-v1:TsinghuaX+00740123_X+sp,8.208709716796875,0
U_10000205,6,C_course-v1:TsinghuaX+34100325_X+sp,7.125504493713379,0
U_10000205,7,C_course-v1:NJU+C1026+2016_T2,5.5833821296691895,0
U_10000205,8,C_course-v1:TsinghuaX+20440333X+sp,4.5308074951171875,0
U_10000205,9,C_course-v1:SCUT+145033+sp,3.4420828819274902,0
U_10000205,10,C_course-v1:TsinghuaX+20430064X+sp,3.2974863052368164,0
U_10000205,11,C_course-v1:TsinghuaX+30640014X+sp,3.270192861557007,0
