user,rank,course,score,is_test_positive
U_10000168,1,C_course-v1:TsinghuaX+30240184+sp,12.79713249206543,1
U_10000168,2,C_course-v1:MITx+6_00_1x+sp,9.696298599243164,0
U_10000168,3,C_course-v1:TsinghuaX+10421075X_2015_2+sp,9.303678512573242,0
U_10000168,4,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,8.096149444580078,0
U_10000168,5,C_course-v1:TsinghuaX+00740123_X+sp,6.694015026092529,0
U_10000168,6,C_course-v1:TsinghuaX+30700313X+sp,6.573854923248291,0
U_10000168,7,C_course-v1:TsinghuaX+10421084X_2015_2+sp,5.879668235778809,0
U_10000168,8,C_course-v1:TsinghuaX+10421102x_2015_T2+sp,5.608190536499023,0
U_10000168,9,C_course-v1:TsinghuaX+00740043_1x+2019_T1,5.557858467102051,0
U_10000168,10,C_course-v1:TsinghuaX+90640012X+sp,5.4445953369140625,0
U_10000168,11,C_course-v1:TsinghuaX+20330334X_2015_2+sp,5.36082124710083,0
U_10000168,12,C_course-v1:TsinghuaX+20430064X+sp,5.143176078796387,0
U_10000168,13,C_course-v1:TsinghuaX+20250103X+sp,4.952363967895508,0
U_10000168,14,C_course-v1:TsinghuaX+10421094X+2019_T1,4.848567962646484,0
U_10000168,15,C_course-v1:TsinghuaX+20220332X+sp,4.602966785430908,0
U_10000168,16,C_course-v1:TsinghuaX+20120143X+sp,4.5368733406066895,0
U_10000168,17,C_course-v1:BIT+PHY1701702+sp,4.398919582366943,0
U_10000168,18,C_course-v1:TsinghuaX+30640014X+2019_T1,4.351304531097412,0
U_10000168,19,C_course-v1:TsinghuaX+00612642X+sp,4.279055118560791,0
U_10000168,20,C_course-v1:TsinghuaX+20250064+sp,3.752182960510254,0
U_10000205,1,C_course-v1:TsinghuaX+30240184_2X+sp,16.598928451538086,0
U_10000205,2,C_course-v1:TsinghuaX+70150023X+sp,11.506353378295898,1
U_10000205,3,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,9.990046501159668,0
U_10000205,4,C_course-v1:MITx+6_00_1x+sp,8.865174293518066,0
U_10000205,5,C_course-v1:TsinghuaX+00740123_X+sp,8.63742733001709,0
U_10000205,6,C_course-v1:TsinghuaX+20440333X+sp,7.407566547393799,0
U_10000205,7,C_course-v1:TsinghuaX+34100325_X+sp,6.270124912261963,0
U_10000205,8,C_course-v1:NJU+C1026+2016_T2,5.347634315490723,0
U_10000205,9,C_course-v1:TsinghuaX+20430064X+sp,4.497659683227539,0
U_10000205,10,C_course-v1:TsinghuaX+30640014X+sp,4.0981669425964355,0
U_10000205,11,C_course-v1:TsinghuaX+10421075X_2015_2+sp,3.555504322052002,0
U_10000205,12,C_course-v1:SCUT+145033+sp,3.4215149879455566,0
U_10000205,13,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,3.4132871627807617,0
U_10000205,14,C_course-v1:TsinghuaX+10421094X_2015_2+sp,3.3785033226013184,0
U_10000205,15,C_course-v1:UC_BerkeleyX+CS_184_1x+sp,3.376573085784912,0
U_10000205,16,C_course-v1:TsinghuaX+60240202X+sp,3.3371877670288086,0
U_10000205,17,C_course-v1:TsinghuaX+00701032X+sp,3.159224510192871,0
U_10000205,18,C_course-v1:TsinghuaX+00690092X+sp,3.0603861808776855,0
U_10000205,19,C_course-v1:TsinghuaX+00740113_1X+sp,2.8007144927978516,0
