user,rank,course,score,is_test_positive
U_10000168,1,C_course-v1:TsinghuaX+30240184+sp,11.448346138000488,1
U_10000168,2,C_course-v1:MITx+6_00_1x+sp,8.871228218078613,0
U_10000168,3,C_course-v1:TsinghuaX+10421075X_2015_2+sp,8.733753204345703,0
U_10000168,4,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,7.901355743408203,0
U_10000168,5,C_course-v1:TsinghuaX+30700313X+sp,6.454567909240723,0
U_10000168,6,C_course-v1:TsinghuaX+00740123_X+sp,6.207640171051025,0
U_10000168,7,C_course-v1:TsinghuaX+90640012X+sp,5.477003574371338,0
U_10000168,8,C_course-v1:TsinghuaX+10421084X_2015_2+sp,5.463142395019531,0
U_10000168,9,C_course-v1:TsinghuaX+10421102x_2015_T2+sp,5.2720208168029785,0
U_10000168,10,C_course-v1:TsinghuaX+20330334X_2015_2+sp,5.105918884277344,0
U_10000168,11,C_course-v1:TsinghuaX+00740043_1x+2019_T1,4.889293193817139,0
U_10000168,12,C_course-v1:TsinghuaX+20220332X+sp,4.738905906677246,0
U_10000168,13,C_course-v1:TsinghuaX+20120143X+sp,4.698959827423096,0
U_10000168,14,C_course-v1:TsinghuaX+20430064X+sp,4.511208534240723,0
U_10000168,15,C_course-v1:TsinghuaX+20250103X+sp,4.391012191772461,0
U_10000168,16,C_course-v1:TsinghuaX+00612642X+sp,4.226102828979492,0
U_10000168,17,C_course-v1:BIT+PHY1701702+sp,4.1864190101623535,0
U_10000168,18,C_course-v1:TsinghuaX+30640014X+2019_T1,4.027384281158447,0
U_10000168,19,C_course-v1:TsinghuaX+10421094X+2019_T1,3.9595937728881836,0
U_10000168,20,C_course-v1:TsinghuaX+20440333X+sp,3.7207088470458984,0
U_10000205,1,C_course-v1:TsinghuaX+30240184_2X+sp,16.34945297241211,0
U_10000205,2,C_course-v1:TsinghuaX+70150023X+sp,11.480072021484375,1
U_10000205,3,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,8.710731506347656,0
U_10000205,4,C_course-v1:TsinghuaX+00740123_X+sp,8.003236770629883,0
U_10000205,5,C_course-v1:MITx+6_00_1x+sp,7.736626625061035,0
U_10000205,6,C_course-v1:TsinghuaX+20440333X+sp,6.985989093780518,0
U_10000205,7,C_course-v1:TsinghuaX+34100325_X+sp,6.241211891174316,0
U_10000205,8,C_course-v1:NJU+C1026+2016_T2,5.394683361053467,0
U_10000205,9,C_course-v1:TsinghuaX+20430064X+sp,4.126594543457031,0
U_10000205,10,C_course-v1:SCUT+145033+sp,3.238372802734375,0
U_10000205,11,C_course-v1:TsinghuaX+30640014X+sp,3.1778080463409424,0
U_10000205,12,C_course-v1:UC_BerkeleyX+CS_184_1x+sp,3.176948070526123,0
U_10000205,13,C_course-v1:TsinghuaX+00690092X+sp,3.1716370582580566,0
U_10000205,14,C_course-v1:TsinghuaX+10421094X_2015_2+sp,3.1283907890319824,0
U_10000205,15,C_course-v1:TsinghuaX+60240202X+sp,3.0959222316741943,0
U_10000205,16,C_course-v1:TsinghuaX+10421075X_2015_2+sp,3.05684494972229,0
U_10000205,17,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,3.0334157943725586,0
U_10000205,18,C_course-v1:TsinghuaX+THESIS2015X+2015_T1,2.892444372177124,0
U_10000205,19,C_course-v1:TsinghuaX+00701032X+sp,2.7895398139953613,0
U_10000205,20,C_course-v1:TsinghuaX+10430494X_2015_2+sp,2.6479413509368896,0
U_10000325,1,C_course-v1:SCUT+145055+sp,21.942182540893555,0
U_10000325,2,C_course-v1:TsinghuaX+30240184_2X+sp,19.834545135498047,0
U_10000325,3,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,11.662898063659668,1
U_10000325,4,C_course-v1:TsinghuaX+30240243X+sp,10.28107738494873,0
U_10000325,5,C_course-v1:TsinghuaX+00740123_X+sp,6.947296619415283,0
U_10000325,6,C_course-v1:SCUT+145033+sp,6.208693027496338,1
U_10000325,7,C_course-v1:MITx+6_00_1x+sp,6.10898494720459,0
U_10000325,8,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,3.300943613052368,0
U_10000325,9,C_course-v1:TsinghuaX+2018032801X+2018_T1,2.8155441284179688,0
U_10000325,10,C_course-v1:TsinghuaX+20250103X+sp,2.2621524333953857,0
U_10000325,11,C_course-v1:TsinghuaX+34100325_X+sp,2.2424206733703613,0
U_10000325,12,C_course-v1:TsinghuaX+20250064+sp,2.2379679679870605,0
U_10000325,13,C_course-v1:TsinghuaX+10430494X_2015_2+sp,1.5620839595794678,0
U_10000325,14,C_course-v1:NJU+C1026+2016_T2,1.3452001810073853,0
U_10000325,15,C_course-v1:TsinghuaX+30640014X+sp,1.3057554960250854,0
U_10000325,16,C_course-v1:TsinghuaX+10421094X_2015_2+sp,1.3026551008224487,0
U_10000325,17,C_course-v1:UESTC+E2216230+2018_T2,1.2276619672775269,0
U_10000325,18,C_course-v1:TsinghuaX+00740113_1X+sp,1.203874945640564,0
U_10000325,19,C_course-v1:TsinghuaX+60240013X+sp,1.0871200561523438,0
U_10000325,20,C_course-v1:UC_BerkeleyX+CS_184_1x+sp,1.0441352128982544,0
U_10000462,1,C_course-v1:TsinghuaX+30240184+sp,17.386159896850586,0
U_10000462,2,C_course-v1:TsinghuaX+20250064+sp,14.203924179077148,0
U_10000462,3,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,13.408379554748535,0
U_10000462,4,C_course-v1:TsinghuaX+20250103X+sp,11.819099426269531,0
U_10000462,5,C_course-v1:TsinghuaX+30240243X+sp,6.806191921234131,0
U_10000462,6,C_course-v1:TsinghuaX+20220053X_2015_T2+sp,6.424157619476318,0
U_10000462,7,C_course-v1:TsinghuaX+30640014X+sp,5.992743968963623,0
U_10000462,8,C_course-v1:TsinghuaX+00740123_X+sp,5.871969223022461,0
U_10000462,9,C_course-v1:GIT+0500002402+2019_T1,5.257480621337891,0
U_10000462,10,C_course-v1:TsinghuaX+10430484X_2015_2+sp,4.967543601989746,0
U_10000462,11,C_course-v1:TsinghuaX+10421094X_2015_2+sp,4.614762783050537,0
U_10000462,12,C_course-v1:TsinghuaX+10421075X_2015_2+sp,4.200746059417725,0
U_10000462,13,C_course-v1:MITx+6_002x+sp,4.050623416900635,0
U_10000462,14,C_course-v1:TsinghuaX+34100325_X+sp,3.9647600650787354,0
U_10000462,15,C_course-v1:UST+UST001+sp,3.4294049739837646,0
U_10000462,16,C_course-v1:TsinghuaX+20120143X+sp,3.219738006591797,0
U_10000462,17,C_course-v1:TsinghuaX+AP000005X+2019_T1,2.9914937019348145,0
U_10000462,18,C_course-v1:TsinghuaX+10430494X_2015_2+sp,2.7255923748016357,0
U_10000462,19,C_course-v1:TsinghuaX+00740043_1x+2019_T1,2.7157251834869385,0
U_10000462,20,C_course-v1:TsinghuaX+20220332X+sp,2.7015857696533203,0
U_10000566,1,C_course-v1:TsinghuaX+30640014X+2019_T1,20.15874481201172,0
U_10000566,2,C_course-v1:TsinghuaX+90640012X+sp,19.472126007080078,0
U_10000566,3,C_course-v1:TsinghuaX+20220332X+sp,11.143342018127441,0
U_10000566,4,C_course-v1:TsinghuaX+30700313X+sp,10.502676963806152,0
U_10000566,5,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,8.091639518737793,0
U_10000566,6,C_course-v1:HUBU+2017022703X+sp,6.212716102600098,0
U_10000566,7,C_course-v1:TsinghuaX+00612642X+sp,6.042433261871338,0
U_10000566,8,C_course-v1:MITx+6_00_1x+sp,5.778584003448486,0
U_10000566,9,C_course-v1:TsinghuaX+30240184+sp,4.3022685050964355,0
U_10000566,10,C_course-v1:TsinghuaX+80000271X+sp,3.4328863620758057,0
U_10000566,11,C_course-v1:TsinghuaX+00740123_X+sp,2.8834686279296875,0
U_10000566,12,C_course-v1:TsinghuaX+20120143X+sp,2.4670917987823486,0
U_10000566,13,C_course-v1:CSU+2018020201X+sp,2.4162440299987793,0
U_10000566,14,C_course-v1:TsinghuaX+00690863X+sp,2.4059362411499023,0
U_10000566,15,C_course-v1:TsinghuaX+10610193X+sp,2.358973741531372,0
U_10000566,16,C_course-v1:TsinghuaX+20440333X+sp,2.3116204738616943,0
U_10000566,17,C_course-v1:FudanX+SOSC120007+sp,2.291048049926758,0
U_10000566,18,C_course-v1:MITx+15_390_2x+sp,2.2786026000976562,0
U_10000566,19,C_course-v1:UQx+Think101x+sp,2.2395641803741455,0
U_10000566,20,C_course-v1:TsinghuaX+80515522X+sp,2.1090292930603027,0
U_10000598,1,C_course-v1:TsinghuaX+30240243X+sp,15.085628509521484,0
U_10000598,2,C_course-v1:MITx+6_00_1x+sp,7.700946807861328,0
U_10000598,3,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,6.905032157897949,1
U_10000598,4,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,6.013962745666504,1
U_10000598,5,C_course-v1:TsinghuaX+34100325_X+sp,4.9757232666015625,0
U_10000598,6,C_course-v1:TsinghuaX+00740123_X+sp,4.632402420043945,0
