user,rank,course,score,is_test_positive
U_10000168,1,C_course-v1:TsinghuaX+30240184+sp,13.365461349487305,1
U_10000168,2,C_course-v1:MITx+6_00_1x+sp,10.136687278747559,0
U_10000168,3,C_course-v1:TsinghuaX+10421075X_2015_2+sp,9.818306922912598,0
U_10000168,4,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,8.665877342224121,0
U_10000168,5,C_course-v1:TsinghuaX+00740123_X+sp,7.0931572914123535,0
U_10000168,6,C_course-v1:TsinghuaX+30700313X+sp,7.015109539031982,0
U_10000168,7,C_course-v1:TsinghuaX+10421084X_2015_2+sp,6.274478912353516,0
U_10000168,8,C_course-v1:TsinghuaX+90640012X+sp,5.92281436920166,0
U_10000168,9,C_course-v1:TsinghuaX+10421102x_2015_T2+sp,5.907774448394775,0
U_10000168,10,C_course-v1:TsinghuaX+20330334X_2015_2+sp,5.70582914352417,0
U_10000168,11,C_course-v1:TsinghuaX+00740043_1x+2019_T1,5.671037673950195,0
U_10000168,12,C_course-v1:TsinghuaX+20430064X+sp,5.3209147453308105,0
U_10000168,13,C_course-v1:TsinghuaX+20250103X+sp,5.232662677764893,0
U_10000168,14,C_course-v1:TsinghuaX+20220332X+sp,5.054519176483154,0
U_10000168,15,C_course-v1:TsinghuaX+20120143X+sp,5.023144245147705,0
U_10000168,16,C_course-v1:TsinghuaX+10421094X+2019_T1,4.8016815185546875,0
U_10000168,17,C_course-v1:BIT+PHY1701702+sp,4.708603858947754,0
U_10000168,18,C_course-v1:TsinghuaX+00612642X+sp,4.52731466293335,0
U_10000168,19,C_course-v1:TsinghuaX+30640014X+2019_T1,4.438137531280518,0
U_10000168,20,C_course-v1:TsinghuaX+20250064+sp,4.14013671875,0
U_10000205,1,C_course-v1:TsinghuaX+30240184_2X+sp,17.63555335998535,0
U_10000205,2,C_course-v1:TsinghuaX+70150023X+sp,12.052202224731445,1
U_10000205,3,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,10.461668014526367,0
U_10000205,4,C_course-v1:MITx+6_00_1x+sp,9.254732131958008,0
U_10000205,5,C_course-v1:TsinghuaX+00740123_X+sp,9.128307342529297,0
U_10000205,6,C_course-v1:TsinghuaX+20440333X+sp,7.532810211181641,0
U_10000205,7,C_course-v1:TsinghuaX+34100325_X+sp,6.9396843910217285,0
U_10000205,8,C_course-v1:NJU+C1026+2016_T2,5.835516452789307,0
U_10000205,9,C_course-v1:TsinghuaX+20430064X+sp,4.629953861236572,0
U_10000205,10,C_course-v1:TsinghuaX+30640014X+sp,4.395878314971924,0
U_10000205,11,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,3.7381186485290527,0
U_10000205,12,C_course-v1:TsinghuaX+10421075X_2015_2+sp,3.712224006652832,0
U_10000205,13,C_course-v1:SCUT+145033+sp,3.658538579940796,0
U_10000205,14,C_course-v1:TsinghuaX+10421094X_2015_2+sp,3.594369411468506,0
U_10000205,15,C_course-v1:TsinghuaX+60240202X+sp,3.5839266777038574,0
U_10000205,16,C_course-v1:UC_BerkeleyX+CS_184_1x+sp,3.571714162826538,0
U_10000205,17,C_course-v1:TsinghuaX+00690092X+sp,3.2911734580993652,0
U_10000205,18,C_course-v1:TsinghuaX+00701032X+sp,3.2298777103424072,0
U_10000205,19,C_course-v1:TsinghuaX+THESIS2015X+2015_T1,3.009906768798828,0
U_10000205,20,C_course-v1:TsinghuaX+00740113_1X+sp,3.0079782009124756,0
U_10000325,1,C_course-v1:SCUT+145055+sp,24.542844772338867,0
U_10000325,2,C_course-v1:TsinghuaX+30240184_2X+sp,22.006755828857422,0
U_10000325,3,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,13.645023345947266,1
U_10000325,4,C_course-v1:TsinghuaX+30240243X+sp,11.87677001953125,0
U_10000325,5,C_course-v1:TsinghuaX+00740123_X+sp,8.26777458190918,0
U_10000325,6,C_course-v1:MITx+6_00_1x+sp,7.483051300048828,0
U_10000325,7,C_course-v1:SCUT+145033+sp,7.060267448425293,1
U_10000325,8,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,4.359878063201904,0
U_10000325,9,C_course-v1:TsinghuaX+2018032801X+2018_T1,3.37018084526062,0
U_10000325,10,C_course-v1:TsinghuaX+34100325_X+sp,2.8555781841278076,0
U_10000325,11,C_course-v1:TsinghuaX+20250103X+sp,2.7281856536865234,0
U_10000325,12,C_course-v1:TsinghuaX+20250064+sp,2.4245645999908447,0
U_10000325,13,C_course-v1:NJU+C1026+2016_T2,1.8806750774383545,0
U_10000325,14,C_course-v1:TsinghuaX+00740113_1X+sp,1.7186589241027832,0
U_10000325,15,C_course-v1:TsinghuaX+10421094X_2015_2+sp,1.663102149963379,0
U_10000325,16,C_course-v1:TsinghuaX+10430494X_2015_2+sp,1.611162781715393,0
U_10000325,17,C_course-v1:TsinghuaX+60240013X+sp,1.564680576324463,0
U_10000325,18,C_course-v1:UESTC+E2216230+2018_T2,1.511134386062622,0
U_10000325,19,C_course-v1:UC_BerkeleyX+CS_184_1x+sp,1.4110755920410156,0
U_10000325,20,C_course-v1:TsinghuaX+60240202X+sp,1.3731987476348877,0
U_10000462,1,C_course-v1:TsinghuaX+30240184+sp,19.61635971069336,0
U_10000462,2,C_course-v1:TsinghuaX+20250064+sp,15.570099830627441,0
U_10000462,3,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,15.429624557495117,0
U_10000462,4,C_course-v1:TsinghuaX+20250103X+sp,13.384516716003418,0
U_10000462,5,C_course-v1:TsinghuaX+30240243X+sp,7.820804119110107,0
U_10000462,6,C_course-v1:TsinghuaX+20220053X_2015_T2+sp,7.089926719665527,0
U_10000462,7,C_course-v1:TsinghuaX+30640014X+sp,7.030265808105469,0
U_10000462,8,C_course-v1:TsinghuaX+00740123_X+sp,7.025259494781494,0
U_10000462,9,C_course-v1:GIT+0500002402+2019_T1,5.743560314178467,0
U_10000462,10,C_course-v1:TsinghuaX+10430484X_2015_2+sp,5.550053596496582,0
U_10000462,11,C_course-v1:TsinghuaX+10421094X_2015_2+sp,5.198909759521484,0
U_10000462,12,C_course-v1:TsinghuaX+10421075X_2015_2+sp,4.797568321228027,0
U_10000462,13,C_course-v1:MITx+6_002x+sp,4.740825653076172,0
U_10000462,14,C_course-v1:TsinghuaX+34100325_X+sp,4.532948970794678,0
U_10000462,15,C_course-v1:UST+UST001+sp,3.948031425476074,0
U_10000462,16,C_course-v1:TsinghuaX+20120143X+sp,3.464298725128174,0
U_10000462,17,C_course-v1:TsinghuaX+00740043_1x+2019_T1,3.3788528442382812,0
U_10000462,18,C_course-v1:TsinghuaX+AP000005X+2019_T1,3.368091344833374,0
U_10000462,19,C_course-v1:TsinghuaX+10430494X_2015_2+sp,3.223365306854248,0
U_10000462,20,C_course-v1:GIT+0500002402+2018_T2,3.010477304458618,0
U_10000566,1,C_course-v1:TsinghuaX+30640014X+2019_T1,22.712871551513672,0
U_10000566,2,C_course-v1:TsinghuaX+90640012X+sp,21.32822036743164,0
U_10000566,3,C_course-v1:TsinghuaX+20220332X+sp,12.115885734558105,0
U_10000566,4,C_course-v1:TsinghuaX+30700313X+sp,11.900115013122559,0
U_10000566,5,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,9.081864356994629,0
U_10000566,6,C_course-v1:TsinghuaX+00612642X+sp,7.2761969566345215,0
U_10000566,7,C_course-v1:MITx+6_00_1x+sp,6.446384906768799,0
U_10000566,8,C_course-v1:HUBU+2017022703X+sp,6.4388275146484375,0
U_10000566,9,C_course-v1:TsinghuaX+30240184+sp,5.006460189819336,0
U_10000566,10,C_course-v1:TsinghuaX+80000271X+sp,3.671351909637451,0
U_10000566,11,C_course-v1:TsinghuaX+00740123_X+sp,3.186166763305664,0
U_10000566,12,C_course-v1:UQx+Think101x+sp,2.8854429721832275,0
U_10000566,13,C_course-v1:CSU+2018020201X+sp,2.7444798946380615,0
U_10000566,14,C_course-v1:TsinghuaX+10610193X+sp,2.6191744804382324,0
U_10000566,15,C_course-v1:TsinghuaX+00690863X+sp,2.618340253829956,0
U_10000566,16,C_course-v1:TsinghuaX+20120143X+sp,2.5877108573913574,0
U_10000566,17,C_course-v1:MITx+15_390_2x+sp,2.5624332427978516,0
U_10000566,18,C_course-v1:FudanX+SOSC120007+sp,2.5036699771881104,0
U_10000566,19,C_course-v1:TsinghuaX+20440333X+sp,2.3199894428253174,0
U_10000566,20,C_course-v1:TsinghuaX+80515522X+sp,2.2758984565734863,0
U_10000598,1,C_course-v1:TsinghuaX+30240243X+sp,16.906137466430664,0
U_10000598,2,C_course-v1:MITx+6_00_1x+sp,9.086261749267578,0
U_10000598,3,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,8.666471481323242,1
U_10000598,4,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,6.98487663269043,1
U_10000598,5,C_course-v1:TsinghuaX+00740123_X+sp,5.691989898681641,0
U_10000598,6,C_course-v1:TsinghuaX+34100325_X+sp,5.668761253356934,0
U_10000598,7,C_course-v1:TsinghuaX+60240013X+sp,3.8133480548858643,0
U_10000598,8,C_course-v1:TsinghuaX+10421094X_2015_2+sp,2.9248907566070557,0
U_10000598,9,C_course-v1:TsinghuaX+00740113_1X+sp,2.801746368408203,0
U_10000598,10,C_course-v1:NJU+C1026+2016_T2,2.4892666339874268,0
U_10000598,11,C_course-v1:UST+UST001+sp,2.353943347930908,0
U_10000598,12,C_course-v1:SCUT+145055+sp,2.274628162384033,0
U_10000598,13,C_course-v1:TsinghuaX+60240202X+sp,2.247345209121704,0
U_10000598,14,C_course-v1:TsinghuaX+20250103X+sp,2.1881182193756104,0
U_10000598,15,C_course-v1:JXUST+JXUST2016001+2016_T2,2.132631301879883,0
U_10000598,16,C_course-v1:TsinghuaX+2018032801X+2018_T1,2.021228551864624,0
U_10000598,17,C_course-v1:TsinghuaX+70240183x_1+2019_T1,1.9944303035736084,0
U_10000598,18,C_course-v1:SCUT+145033+sp,1.8738889694213867,0
U_10000598,19,C_course-v1:TsinghuaX+10421075X_2015_2+sp,1.5910567045211792,0
U_10000598,20,C_course-v1:TsinghuaX+00740113_2X+sp,1.3417329788208008,0
U_10000657,1,C_course-v1:TsinghuaX+10421084X_2015_2+sp,35.39265823364258,1
U_10000657,2,C_course-v1:TsinghuaX+10421075X+2019_T1,9.226665496826172,0
U_10000657,3,C_course-v1:TsinghuaX+10421094X_2015_2+sp,8.904873847961426,0
U_10000657,4,C_course-v1:TsinghuaX+10430484X_2015_2+sp,6.6670403480529785,0
U_10000657,5,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,6.243932247161865,0
U_10000657,6,C_course-v1:TsinghuaX+AP000005X+2019_T1,5.2900800704956055,0
U_10000657,7,C_course-v1:MITx+6_00_1x+sp,3.425849437713623,0
U_10000657,8,C_course-v1:TsinghuaX+20220214X+2019_T1,3.3675968647003174,0
U_10000657,9,C_course-v1:TsinghuaX+10430494X_2015_2+sp,3.124415159225464,0
U_10000657,10,C_course-v1:TsinghuaX+10421094X+2019_T1,3.12034010887146,0
U_10000657,11,C_course-v1:USTC+AP000011X+2019_T1,3.0491514205932617,0
U_10000657,12,C_course-v1:TsinghuaX+20120143X+sp,2.791290521621704,0
U_10000657,13,C_course-v1:TsinghuaX+30240184+sp,2.686248779296875,0
U_10000657,14,C_course-v1:TsinghuaX+AP000003X+2019_T1,2.5346555709838867,0
U_10000657,15,C_course-v1:TsinghuaX+AP000002X+2019_T1,2.44765567779541,0
U_10000657,16,C_course-v1:TsinghuaX+30640014X+sp,2.0858821868896484,0
U_10000657,17,C_course-v1:TsinghuaX+AP201601X+2019_T1,2.0110607147216797,0
U_10000657,18,C_course-v1:TsinghuaX+90640012X+sp,1.9188328981399536,0
U_10000657,19,C_course-v1:TsinghuaX+30240243X+sp,1.8661590814590454,0
U_10000657,20,C_course-v1:TsinghuaX+60240013X+sp,1.8314319849014282,0
U_10000658,1,C_course-v1:TsinghuaX+AP000003X+2019_T1,18.461706161499023,1
U_10000658,2,C_course-v1:TsinghuaX+30240184+sp,18.25019645690918,0
U_10000658,3,C_course-v1:TsinghuaX+20250103X+sp,9.115083694458008,0
U_10000658,4,C_course-v1:TsinghuaX+00740123_X+sp,9.093567848205566,0
U_10000658,5,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,8.33292007446289,0
U_10000658,6,C_course-v1:TsinghuaX+34100325_X+sp,8.200701713562012,0
U_10000658,7,C_course-v1:UST+UST001+sp,7.300631999969482,0
U_10000658,8,C_course-v1:MITx+6_00_1x+sp,7.100160598754883,0
U_10000658,9,C_course-v1:TsinghuaX+30240184_2X+sp,6.531337738037109,0
U_10000658,10,C_course-v1:SCUT+145033+sp,5.011263370513916,0
U_10000658,11,C_course-v1:TsinghuaX+20250064+sp,4.411799907684326,0
U_10000658,12,C_course-v1:NBCC+NBCC000201+_sp,3.4092092514038086,0
U_10000658,13,C_course-v1:CQU+MATH20041X+2019_T1,3.150015354156494,0
U_10000658,14,C_course-v1:TsinghuaX+Pr20170406-SC_p1+sp,2.702174425125122,0
U_10000658,15,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,2.548579216003418,0
U_10000658,16,C_course-v1:TsinghuaX+30640014X+sp,2.5459237098693848,0
