user,rank,course,score,is_test_positive
U_10000168,1,C_course-v1:TsinghuaX+30240184+sp,12.253470420837402,1
U_10000168,2,C_course-v1:MITx+6_00_1x+sp,9.331147193908691,0
U_10000168,3,C_course-v1:TsinghuaX+10421075X_2015_2+sp,9.123997688293457,0
U_10000168,4,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,8.072590827941895,0
U_10000168,5,C_course-v1:TsinghuaX+30700313X+sp,6.617058277130127,0
U_10000168,6,C_course-v1:TsinghuaX+00740123_X+sp,6.476405620574951,0
U_10000168,7,C_course-v1:TsinghuaX+10421084X_2015_2+sp,5.738621234893799,0
U_10000168,8,C_course-v1:TsinghuaX+90640012X+sp,5.525699615478516,0
U_10000168,9,C_course-v1:TsinghuaX+10421102x_2015_T2+sp,5.482007026672363,0
U_10000168,10,C_course-v1:TsinghuaX+20330334X_2015_2+sp,5.257288455963135,0
U_10000168,11,C_course-v1:TsinghuaX+00740043_1x+2019_T1,5.093987941741943,0
U_10000168,12,C_course-v1:TsinghuaX+20430064X+sp,4.788282871246338,0
U_10000168,13,C_course-v1:TsinghuaX+20220332X+sp,4.689140796661377,0
U_10000168,14,C_course-v1:TsinghuaX+20250103X+sp,4.687110900878906,0
U_10000168,15,C_course-v1:TsinghuaX+20120143X+sp,4.681209087371826,0
U_10000168,16,C_course-v1:BIT+PHY1701702+sp,4.31150484085083,0
U_10000168,17,C_course-v1:TsinghuaX+10421094X+2019_T1,4.282072067260742,0
U_10000168,18,C_course-v1:TsinghuaX+00612642X+sp,4.193389892578125,0
U_10000168,19,C_course-v1:TsinghuaX+30640014X+2019_T1,4.0292582511901855,0
U_10000168,20,C_course-v1:TsinghuaX+20250064+sp,3.7653720378875732,0
U_10000205,1,C_course-v1:TsinghuaX+30240184_2X+sp,16.601795196533203,0
U_10000205,2,C_course-v1:TsinghuaX+70150023X+sp,11.51134967803955,1
U_10000205,3,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,9.405448913574219,0
U_10000205,4,C_course-v1:TsinghuaX+00740123_X+sp,8.368363380432129,0
U_10000205,5,C_course-v1:MITx+6_00_1x+sp,8.337706565856934,0
U_10000205,6,C_course-v1:TsinghuaX+20440333X+sp,7.144068717956543,0
U_10000205,7,C_course-v1:TsinghuaX+34100325_X+sp,6.420566558837891,0
U_10000205,8,C_course-v1:NJU+C1026+2016_T2,5.41835880279541,0
U_10000205,9,C_course-v1:TsinghuaX+20430064X+sp,4.285857677459717,0
U_10000205,10,C_course-v1:TsinghuaX+30640014X+sp,3.8294501304626465,0
U_10000205,11,C_course-v1:TsinghuaX+10421075X_2015_2+sp,3.3205111026763916,0
U_10000205,12,C_course-v1:SCUT+145033+sp,3.2846858501434326,0
U_10000205,13,C_course-v1:UC_BerkeleyX+CS_184_1x+sp,3.275658369064331,0
U_10000205,14,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,3.2334718704223633,0
U_10000205,15,C_course-v1:TsinghuaX+60240202X+sp,3.2214508056640625,0
U_10000205,16,C_course-v1:TsinghuaX+10421094X_2015_2+sp,3.220029592514038,0
U_10000205,17,C_course-v1:TsinghuaX+00690092X+sp,3.076066017150879,0
U_10000205,18,C_course-v1:TsinghuaX+00701032X+sp,2.975950002670288,0
U_10000205,19,C_course-v1:TsinghuaX+THESIS2015X+2015_T1,2.8201382160186768,0
U_10000205,20,C_course-v1:TsinghuaX+00740113_1X+sp,2.6603853702545166,0
U_10000325,1,C_course-v1:SCUT+145055+sp,22.939300537109375,0
U_10000325,2,C_course-v1:TsinghuaX+30240184_2X+sp,20.668903350830078,0
U_10000325,3,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,12.53022575378418,1
