user,rank,course,score,is_test_positive
U_10000168,1,C_course-v1:TsinghuaX+30240184+sp,0.6439440349402834,1
U_10000168,2,C_course-v1:TsinghuaX+10421075X_2015_2+sp,0.5820916358098477,0
U_10000168,3,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,0.5607602041134819,0
U_10000168,4,C_course-v1:MITx+6_00_1x+sp,0.5150758328263122,0
U_10000168,5,C_course-v1:TsinghuaX+10421084X_2015_2+sp,0.5033648686406004,0
U_10000168,6,C_course-v1:TsinghuaX+00740123_X+sp,0.45687026074101833,0
U_10000168,7,C_course-v1:TsinghuaX+10421102x_2015_T2+sp,0.4255992338174256,0
U_10000168,8,C_course-v1:TsinghuaX+30240243X+sp,0.41279670441476857,0
U_10000168,9,C_course-v1:TsinghuaX+90640012X+sp,0.4087800364143394,0
U_10000168,10,C_course-v1:TsinghuaX+20330334X_2015_2+sp,0.4087708259647058,0
U_10000168,11,C_course-v1:TsinghuaX+20430064X+sp,0.39802495197272725,0
U_10000168,12,C_course-v1:TsinghuaX+00740043_1x+2019_T1,0.3921445086085279,0
U_10000168,13,C_course-v1:TsinghuaX+20250103X+sp,0.38948002815742694,0
U_10000168,14,C_course-v1:BIT+PHY1701702+sp,0.3801665462489082,0
U_10000168,15,C_course-v1:TsinghuaX+30240184_2X+sp,0.3785773635586156,0
U_10000168,16,C_course-v1:TsinghuaX+20120143X+sp,0.36882628908885895,0
U_10000168,17,C_course-v1:TsinghuaX+30700313X+sp,0.3574252738536605,0
U_10000168,18,C_course-v1:TsinghuaX+60240013X+sp,0.3528722609906409,0
U_10000168,19,C_course-v1:TsinghuaX+20220332X+sp,0.34507175544890556,0
U_10000168,20,C_course-v1:BIT+PHY1701601+sp,0.3444361875808533,0
U_10000205,1,C_course-v1:TsinghuaX+30240184_2X+sp,0.937587339230449,0
U_10000205,2,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,0.608543206420565,0
U_10000205,3,C_course-v1:TsinghuaX+34100325_X+sp,0.5785922524273246,0
U_10000205,4,C_course-v1:TsinghuaX+00740123_X+sp,0.5671478874300049,0
U_10000205,5,C_course-v1:MITx+6_00_1x+sp,0.5364464723585297,0
U_10000205,6,C_course-v1:NJU+C1026+2016_T2,0.49519740146334706,0
U_10000205,7,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,0.4543560496011364,0
U_10000205,8,C_course-v1:TsinghuaX+70150023X+sp,0.3950190272619607,1
U_10000205,9,C_course-v1:SCUT+145033+sp,0.3747556840722689,0
U_10000205,10,C_course-v1:TsinghuaX+60240202X+sp,0.36873493158868564,0
U_10000205,11,C_course-v1:TsinghuaX+00740113_1X+sp,0.33955154774072605,0
U_10000205,12,C_course-v1:UC_BerkeleyX+CS_184_1x+sp,0.3114152690064143,0
U_10000205,13,C_course-v1:NBCC+NBCC000201+_sp,0.31086344268381455,0
U_10000205,14,C_course-v1:TsinghuaX+10421094X_2015_2+sp,0.29970945551989947,0
U_10000205,15,C_course-v1:TsinghuaX+2018032801X+2018_T1,0.2968349289468054,0
U_10000205,16,C_course-v1:TsinghuaX+20250103X+sp,0.28290110963680853,0
U_10000205,17,C_course-v1:TsinghuaX+10421075X_2015_2+sp,0.2826028781123352,0
U_10000205,18,C_course-v1:BJUT+2140074001x+sp,0.26870998097285004,0
U_10000205,19,C_course-v1:CUNY+20171211001+sp,0.26771495464488354,0
U_10000205,20,C_course-v1:TsinghuaX+30640014X+sp,0.26482608430980253,0
U_10000325,1,C_course-v1:TsinghuaX+30240184_2X+sp,0.5383630522168628,0
U_10000325,2,C_course-v1:TsinghuaX+30240243X+sp,0.3805385212244191,0
U_10000325,3,C_course-v1:SCUT+145055+sp,0.3799820115719731,0
U_10000325,4,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,0.31809527258166975,1
U_10000325,5,C_course-v1:TsinghuaX+00740123_X+sp,0.26132003176358415,0
U_10000325,6,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,0.23463872880094488,0
U_10000325,7,C_course-v1:MITx+6_00_1x+sp,0.21951814297562078,0
U_10000325,8,C_course-v1:TsinghuaX+34100325_X+sp,0.18689462922221403,0
U_10000325,9,C_course-v1:SCUT+145033+sp,0.17430765390784536,1
U_10000325,10,C_course-v1:NJU+C1026+2016_T2,0.14623698867945284,0
U_10000325,11,C_course-v1:TsinghuaX+2018032801X+2018_T1,0.12647609869632448,0
U_10000325,12,C_course-v1:TsinghuaX+00740113_1X+sp,0.1247935798383075,0
U_10000325,13,C_course-v1:TsinghuaX+20250103X+sp,0.11679770072425699,0
U_10000325,14,C_course-v1:UST+UST001+sp,0.11645799665430916,0
U_10000325,15,C_course-v1:TsinghuaX+60240013X+sp,0.11409952486204844,0
U_10000325,16,C_course-v1:UC_BerkeleyX+CS_184_1x+sp,0.11259252876001256,0
U_10000325,17,C_course-v1:TsinghuaX+10421094X_2015_2+sp,0.10394464822807963,0
U_10000325,18,C_course-v1:NBCC+NBCC000201+_sp,0.09737638379827997,0
U_10000325,19,C_course-v1:TsinghuaX+60240202X+sp,0.09483941916382933,0
U_10000325,20,C_course-v1:TsinghuaX+20250064+sp,0.08474269295384751,0
U_10000462,1,C_course-v1:TsinghuaX+30240184+sp,0.2519000583551177,0
U_10000462,2,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,0.21396789699080088,0
U_10000462,3,C_course-v1:TsinghuaX+30240243X+sp,0.17637444209286518,0
U_10000462,4,C_course-v1:TsinghuaX+20250103X+sp,0.15950917806918657,0
U_10000462,5,C_course-v1:TsinghuaX+00740123_X+sp,0.15056604592600434,0
U_10000462,6,C_course-v1:TsinghuaX+20250064+sp,0.14984433672350467,0
U_10000462,7,C_course-v1:TsinghuaX+30240184_2X+sp,0.1396769737254158,0
U_10000462,8,C_course-v1:TsinghuaX+34100325_X+sp,0.1314110463979686,0
U_10000462,9,C_course-v1:TsinghuaX+10421094X_2015_2+sp,0.12302955740172301,0
U_10000462,10,C_course-v1:TsinghuaX+10421075X_2015_2+sp,0.11223673894659311,0
U_10000462,11,C_course-v1:TsinghuaX+10430484X_2015_2+sp,0.10464776992210392,0
U_10000462,12,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,0.10259497315533499,0
U_10000462,13,C_course-v1:MITx+6_002x+sp,0.10119953238546323,0
U_10000462,14,C_course-v1:TsinghuaX+20220053X_2015_T2+sp,0.09833257051142055,0
U_10000462,15,C_course-v1:TsinghuaX+60240013X+sp,0.09355924112503176,0
U_10000462,16,C_course-v1:UST+UST001+sp,0.09303297791288766,0
U_10000462,17,C_course-v1:TsinghuaX+30640014X+sp,0.09209853622465576,0
U_10000462,18,C_course-v1:GIT+0500002402+2019_T1,0.09146902759103609,0
U_10000462,19,C_course-v1:TsinghuaX+10430494X_2015_2+sp,0.09044804464473803,0
U_10000462,20,C_course-v1:TsinghuaX+20250064X+sp,0.08153546463064226,0
U_10000566,1,C_course-v1:TsinghuaX+30640014X+2019_T1,0.26245911733675276,0
U_10000566,2,C_course-v1:TsinghuaX+90640012X+sp,0.23592517480900352,0
U_10000566,3,C_course-v1:TsinghuaX+20220332X+sp,0.14341214023903576,0
U_10000566,4,C_course-v1:TsinghuaX+30700313X+sp,0.14018387599931006,0
U_10000566,5,C_course-v1:HUBU+2017022703X+sp,0.12050616468899865,0
U_10000566,6,C_course-v1:TsinghuaX+00612642X+sp,0.11194337542103774,0
U_10000566,7,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,0.10217317932547633,0
U_10000566,8,C_course-v1:MITx+6_00_1x+sp,0.09209853622465576,0
U_10000566,9,C_course-v1:CSU+2018020201X+sp,0.0830625376073737,0
U_10000566,10,C_course-v1:TsinghuaX+30240184+sp,0.08217444198763563,0
U_10000566,11,C_course-v1:TsinghuaX+80000271X+sp,0.07813187523192727,0
U_10000566,12,C_course-v1:UQx+Think101x+sp,0.07754400788835662,0
U_10000566,13,C_course-v1:TsinghuaX+00690863X+sp,0.07043874423015925,0
U_10000566,14,C_course-v1:TsinghuaX+10610193X+sp,0.06791473919906627,0
U_10000566,15,C_course-v1:MITx+15_390_2x+sp,0.06767502369928771,0
U_10000566,16,C_course-v1:FudanX+SOSC120007+sp,0.06721345046060564,0
U_10000566,17,C_course-v1:TsinghuaX+00740123_X+sp,0.06706291904501648,0
U_10000566,18,C_course-v1:TsinghuaX+80515522X+sp,0.06663961149576823,0
U_10000566,19,C_course-v1:TsinghuaX+00690092X+sp,0.06528598221456366,0
U_10000566,20,C_course-v1:TsinghuaX+90640012X_1+2019_T1,0.06437689346162698,0
U_10000598,1,C_course-v1:TsinghuaX+30240243X+sp,0.7055502563940494,0
U_10000598,2,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,0.4999477979704804,1
U_10000598,3,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,0.4344807610394263,1
U_10000598,4,C_course-v1:MITx+6_00_1x+sp,0.4116046826163764,0
U_10000598,5,C_course-v1:TsinghuaX+00740123_X+sp,0.4074901423060893,0
U_10000598,6,C_course-v1:TsinghuaX+34100325_X+sp,0.39347381817573734,0
U_10000598,7,C_course-v1:TsinghuaX+60240013X+sp,0.2731355999797434,0
U_10000598,8,C_course-v1:NJU+C1026+2016_T2,0.2628107227219919,0
U_10000598,9,C_course-v1:TsinghuaX+00740113_1X+sp,0.24129110691915223,0
U_10000598,10,C_course-v1:UST+UST001+sp,0.23412957814806296,0
U_10000598,11,C_course-v1:SCUT+145055+sp,0.22693182594073305,0
U_10000598,12,C_course-v1:SCUT+145033+sp,0.21879716623498585,0
U_10000598,13,C_course-v1:TsinghuaX+60240202X+sp,0.21848255255545235,0
U_10000598,14,C_course-v1:TsinghuaX+10421094X_2015_2+sp,0.218265220299847,0
U_10000598,15,C_course-v1:TsinghuaX+2018032801X+2018_T1,0.19114937034095084,0
U_10000598,16,C_course-v1:TsinghuaX+70240183x_1+2019_T1,0.19046611956325388,0
U_10000598,17,C_course-v1:TsinghuaX+20250103X+sp,0.17997092431351616,0
U_10000598,18,C_course-v1:JXUST+JXUST2016001+2016_T2,0.17219244304645995,0
U_10000598,19,C_course-v1:NBCC+NBCC000201+_sp,0.1653296354132424,0
U_10000598,20,C_course-v1:TsinghuaX+00740113_2X+sp,0.16418913370916943,0
U_10000657,1,C_course-v1:TsinghuaX+10421084X_2015_2+sp,0.5066154214856293,1
U_10000657,2,C_course-v1:TsinghuaX+10421075X+2019_T1,0.25147581744144476,0
U_10000657,3,C_course-v1:TsinghuaX+10421094X_2015_2+sp,0.2103136026062783,0
U_10000657,4,C_course-v1:TsinghuaX+10430484X_2015_2+sp,0.1709425350586008,0
U_10000657,5,C_course-v1:TsinghuaX+10430494X_2015_2+sp,0.12704068629371668,0
U_10000657,6,C_course-v1:TsinghuaX+AP000005X+2019_T1,0.11787102001793201,0
U_10000657,7,C_course-v1:USTC+AP000011X+2019_T1,0.11167564360049737,0
U_10000657,8,C_course-v1:TsinghuaX+10421102x_2015_T2+sp,0.09763082867061118,0
U_10000657,9,C_course-v1:TsinghuaX+10421094X+2019_T1,0.09676689468658675,0
U_10000657,10,C_course-v1:TsinghuaX+AP000003X+2019_T1,0.09459718202894377,0
U_10000657,11,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,0.08495378941125219,0
U_10000657,12,C_course-v1:TsinghuaX+30240184+sp,0.07763299551477314,0
U_10000657,13,C_course-v1:MITx+6_00_1x+sp,0.07616600339372512,0
U_10000657,14,C_course-v1:TsinghuaX+20220214X+2019_T1,0.07181916019522078,0
U_10000657,15,C_course-v1:TsinghuaX+AP201601X+2019_T1,0.06866592089442027,0
U_10000657,16,C_course-v1:TsinghuaX+AP000002X+2019_T1,0.06644359017318566,0
U_10000657,17,C_course-v1:TsinghuaX+20440333X+sp,0.06524931990344841,0
U_10000657,18,C_course-v1:BIT+PHY1701702+sp,0.06438417364669033,0
U_10000657,19,C_course-v1:TsinghuaX+AP000004X+2019_T1,0.06408553727438916,0
U_10000657,20,C_course-v1:TsinghuaX+60240013X+sp,0.06339546978995281,0
U_10000658,1,C_course-v1:TsinghuaX+30240184+sp,0.6385526755754014,0
U_10000658,2,C_course-v1:TsinghuaX+30240184_2X+sp,0.47003312904112465,0
U_10000658,3,C_course-v1:TsinghuaX+AP000003X+2019_T1,0.43144309518070184,1
U_10000658,4,C_course-v1:TsinghuaX+34100325_X+sp,0.43123822160805153,0
U_10000658,5,C_course-v1:TsinghuaX+00740123_X+sp,0.408891366824952,0
U_10000658,6,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,0.38067177692790677,0
U_10000658,7,C_course-v1:UST+UST001+sp,0.35989810601538075,0
U_10000658,8,C_course-v1:MITx+6_00_1x+sp,0.3367259955954143,0
U_10000658,9,C_course-v1:TsinghuaX+20250103X+sp,0.3258786057576828,0
U_10000658,10,C_course-v1:SCUT+145033+sp,0.3190379533364758,0
U_10000658,11,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,0.26914697102585144,0
U_10000658,12,C_course-v1:NBCC+NBCC000201+_sp,0.25109136400278026,0
U_10000658,13,C_course-v1:TsinghuaX+20250064+sp,0.22342133702087794,0
U_10000658,14,C_course-v1:TsinghuaX+00740113_1X+sp,0.2231831773223835,0
U_10000658,15,C_course-v1:TsinghuaX+60240202X+sp,0.22013657769306125,0
U_10000658,16,C_course-v1:XIYOU+20180208+sp,0.20746755047116935,0
U_10000658,17,C_course-v1:UESTC+2017071301X+sp,0.20500393576483059,0
U_10000658,18,C_course-v1:TsinghuaX+10421094X_2015_2+sp,0.19872651559980795,0
U_10000658,19,C_course-v1:TsinghuaX+60240013X+sp,0.19633374650357344,0
U_10000658,20,C_course-v1:SCUT+145055+sp,0.18748991993324643,0
U_10000719,1,C_course-v1:TsinghuaX+00690863X+sp,0.04645654192617561,0
U_10000719,2,C_course-v1:TsinghuaX+00690863X+2019_T1,0.036045725559609304,0
U_10000719,3,C_course-v1:TsinghuaX+00690242+sp,0.025962806217811853,0
U_10000719,4,C_course-v1:GDUT+2018120405X+2019_T1,0.0253803751597374,0
U_10000719,5,C_course-v1:TsinghuaX+TSINGHUA107+sp,0.023527639773845532,0
U_10000719,6,C_course-v1:SEU+00690803+Sp,0.021012382001049813,0
U_10000719,7,C_course-v1:TsinghuaX+00670122X+sp,0.02057987966468969,1
U_10000719,8,C_course-v1:BNU+2017001+2018_T2,0.01964122666021241,0
U_10000719,9,C_course-v1:NJU+2018032002X+SP,0.0185734712051506,0
U_10000719,10,C_course-v1:NJU+2018032001X+sp,0.017463822149326187,0
U_10000719,11,C_course-v1:TsinghuaX+00612642X+2019_T1,0.017360309198826925,0
U_10000719,12,C_course-v1:TsinghuaX+00670122+sp,0.01719786828987462,0
U_10000719,13,C_course-v1:FAFU+20180104002+sp,0.016532419068669556,0
U_10000719,14,C_course-v1:TsinghuaX+TsinghuaMandarin01+sp,0.015488444393501822,0
U_10000719,15,C_course-v1:HIT+HIT2016002+sp,0.015185598412093151,0
U_10000719,16,C_course-v1:CCI+ccioo1+2018_T3,0.014838119362305766,0
U_10000719,17,C_course-v1:LZU+20171113+SP,0.014800261295162126,0
U_10000719,18,C_course-v1:TsinghuaX+8070071302+2019_T1,0.014555070377448926,0
U_10000719,19,C_course-v1:TsinghuaX+8070071301+2019_T1,0.01443380136715854,0
U_10000719,20,C_course-v1:YMY+20171108001+sp,0.014133320511360832,0
U_10000867,1,C_course-v1:TsinghuaX+00691153X+2019_T1,0.1409473938887062,0
U_10000867,2,C_course-v1:TsinghuaX+10800163X+sp,0.11871375116626433,0
U_10000867,3,C_course-v1:TsinghuaX+00612642X+sp,0.10940452375610707,1
U_10000867,4,C_course-v1:TsinghuaX+00680082X+sp,0.10718097272010597,0
U_10000867,5,C_course-v1:TsinghuaX+80000901X_1+sp,0.1057380815180486,0
U_10000867,6,C_course-v1:TsinghuaX+00690242+sp,0.10189269808845186,0
U_10000867,7,C_course-v1:TsinghuaX+00670122X+sp,0.0969706397010119,0
U_10000867,8,C_course-v1:TsinghuaX+10800032X+sp,0.09502993508053716,0
