user,rank,course,score,is_test_positive
U_10000168,1,C_course-v1:TsinghuaX+30240184+sp,0.014587999624107074,1
U_10000168,2,C_course-v1:TsinghuaX+10421075X_2015_2+sp,0.011268375125168532,0
U_10000168,3,C_course-v1:MITx+6_00_1x+sp,0.011134409332538031,0
U_10000168,4,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,0.01086833093767388,0
U_10000168,5,C_course-v1:TsinghuaX+00740123_X+sp,0.009054279303458273,0
U_10000168,6,C_course-v1:TsinghuaX+10421084X_2015_2+sp,0.008994348364292819,0
U_10000168,7,C_course-v1:TsinghuaX+00740043_1x+2019_T1,0.008019754275076516,0
U_10000168,8,C_course-v1:TsinghuaX+30240243X+sp,0.007678185918385916,0
U_10000168,9,C_course-v1:TsinghuaX+20330334X_2015_2+sp,0.007659965288310318,0
U_10000168,10,C_course-v1:TsinghuaX+90640012X+sp,0.007649331461376215,0
U_10000168,11,C_course-v1:TsinghuaX+10421102x_2015_T2+sp,0.007626412801914651,0
U_10000168,12,C_course-v1:TsinghuaX+20430064X+sp,0.007342158083066643,0
U_10000168,13,C_course-v1:BIT+PHY1701702+sp,0.007191804242830364,0
U_10000168,14,C_course-v1:TsinghuaX+20120143X+sp,0.007146401722519916,0
U_10000168,15,C_course-v1:TsinghuaX+20220332X+sp,0.0071357278713935195,0
U_10000168,16,C_course-v1:TsinghuaX+20250103X+sp,0.007119901616967604,0
U_10000168,17,C_course-v1:BIT+PHY1701601+sp,0.006715536338539096,0
U_10000168,18,C_course-v1:TsinghuaX+10421094X+2019_T1,0.0066506327584048095,0
U_10000168,19,C_course-v1:TsinghuaX+30240184_2X+sp,0.006478645994554399,0
U_10000168,20,C_course-v1:TsinghuaX+20250064+sp,0.006329313543602298,0
U_10000205,1,C_course-v1:TsinghuaX+30240184_2X+sp,0.015352576537836454,0
U_10000205,2,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,0.010234386558293587,0
U_10000205,3,C_course-v1:MITx+6_00_1x+sp,0.008822583011143836,0
U_10000205,4,C_course-v1:TsinghuaX+00740123_X+sp,0.008595398826604664,0
U_10000205,5,C_course-v1:TsinghuaX+70150023X+sp,0.008004084527896497,1
U_10000205,6,C_course-v1:TsinghuaX+34100325_X+sp,0.0076058735558904335,0
U_10000205,7,C_course-v1:NJU+C1026+2016_T2,0.006722866885552655,0
U_10000205,8,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,0.005707308919379797,0
U_10000205,9,C_course-v1:SCUT+145033+sp,0.004972840832549874,0
U_10000205,10,C_course-v1:TsinghuaX+60240202X+sp,0.004466821312023805,0
U_10000205,11,C_course-v1:TsinghuaX+10421094X_2015_2+sp,0.004084316680831492,0
U_10000205,12,C_course-v1:UC_BerkeleyX+CS_184_1x+sp,0.00383550540676359,0
U_10000205,13,C_course-v1:NBCC+NBCC000201+_sp,0.003779542440559588,0
U_10000205,14,C_course-v1:TsinghuaX+00740113_1X+sp,0.003558360083980772,0
U_10000205,15,C_course-v1:TsinghuaX+2018032801X+2018_T1,0.0034815826889122645,0
U_10000205,16,C_course-v1:TsinghuaX+20440333X+sp,0.003459194378153199,0
U_10000205,17,C_course-v1:TsinghuaX+20250103X+sp,0.0034032800635280308,0
U_10000205,18,C_course-v1:TsinghuaX+10421075X_2015_2+sp,0.003250593220678647,0
U_10000205,19,C_course-v1:TsinghuaX+THESIS2015X+2015_T1,0.00311981206959327,0
U_10000205,20,C_course-v1:TsinghuaX+20430064X+sp,0.003110845174444339,0
U_10000325,1,C_course-v1:TsinghuaX+30240184_2X+sp,0.03767150093684525,0
U_10000325,2,C_course-v1:SCUT+145055+sp,0.037626655113265434,0
U_10000325,3,C_course-v1:TsinghuaX+30240243X+sp,0.025442241833817925,0
U_10000325,4,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,0.02275422128328265,1
U_10000325,5,C_course-v1:TsinghuaX+00740123_X+sp,0.016840305274700453,0
U_10000325,6,C_course-v1:MITx+6_00_1x+sp,0.013439829733218719,0
U_10000325,7,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,0.012770601970240755,0
U_10000325,8,C_course-v1:SCUT+145033+sp,0.012578968600169889,1
U_10000325,9,C_course-v1:TsinghuaX+34100325_X+sp,0.008742830051975159,0
U_10000325,10,C_course-v1:NJU+C1026+2016_T2,0.00742561099569921,0
U_10000325,11,C_course-v1:TsinghuaX+2018032801X+2018_T1,0.007174790835074362,0
U_10000325,12,C_course-v1:TsinghuaX+20250103X+sp,0.006638657216909118,0
U_10000325,13,C_course-v1:TsinghuaX+00740113_1X+sp,0.005774445319997046,0
U_10000325,14,C_course-v1:UST+UST001+sp,0.005336756342343889,0
U_10000325,15,C_course-v1:TsinghuaX+20250064+sp,0.005217666080255891,0
U_10000325,16,C_course-v1:UC_BerkeleyX+CS_184_1x+sp,0.005172014972104294,0
U_10000325,17,C_course-v1:TsinghuaX+30640014X+sp,0.004786567803072975,0
U_10000325,18,C_course-v1:TsinghuaX+10421094X_2015_2+sp,0.004706323740969006,0
U_10000325,19,C_course-v1:TsinghuaX+60240013X+sp,0.0046691012730970035,0
U_10000325,20,C_course-v1:NBCC+NBCC000201+_sp,0.004156558294878032,0
U_10000462,1,C_course-v1:TsinghuaX+30240184+sp,0.018695432051145038,0
U_10000462,2,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,0.01595181264496543,0
U_10000462,3,C_course-v1:TsinghuaX+20250064+sp,0.012343335363893527,0
U_10000462,4,C_course-v1:TsinghuaX+20250103X+sp,0.011986912788403553,0
U_10000462,5,C_course-v1:TsinghuaX+30240243X+sp,0.011091301071787341,0
