user,rank,course,score,is_test_positive
U_10000168,1,C_course-v1:TsinghuaX+30240184+sp,11.447388132980464,1
U_10000168,2,C_course-v1:MITx+6_00_1x+sp,8.8721246633257,0
U_10000168,3,C_course-v1:TsinghuaX+10421075X_2015_2+sp,8.73520492125942,0
U_10000168,4,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,7.901644051358445,0
U_10000168,5,C_course-v1:TsinghuaX+30700313X+sp,6.454861379782218,0
U_10000168,6,C_course-v1:TsinghuaX+00740123_X+sp,6.208142750880259,0
U_10000168,7,C_course-v1:TsinghuaX+90640012X+sp,5.477301811570566,0
U_10000168,8,C_course-v1:TsinghuaX+10421084X_2015_2+sp,5.46682141454403,0
U_10000168,9,C_course-v1:TsinghuaX+10421102x_2015_T2+sp,5.268485811314637,0
U_10000168,10,C_course-v1:TsinghuaX+20330334X_2015_2+sp,5.1072849452132525,0
U_10000168,11,C_course-v1:TsinghuaX+00740043_1x+2019_T1,4.8886856370383525,0
U_10000168,12,C_course-v1:TsinghuaX+20220332X+sp,4.739201776788583,0
U_10000168,13,C_course-v1:TsinghuaX+20120143X+sp,4.700562837773425,0
U_10000168,14,C_course-v1:TsinghuaX+20430064X+sp,4.509395279877608,0
U_10000168,15,C_course-v1:TsinghuaX+20250103X+sp,4.390240027392379,0
U_10000168,16,C_course-v1:TsinghuaX+00612642X+sp,4.2263971393187845,0
U_10000168,17,C_course-v1:BIT+PHY1701702+sp,4.190834427484159,0
U_10000168,18,C_course-v1:TsinghuaX+30640014X+2019_T1,4.027642983558142,0
U_10000168,19,C_course-v1:TsinghuaX+10421094X+2019_T1,3.9581018209462187,0
U_10000168,20,C_course-v1:TsinghuaX+20440333X+sp,3.720475406708274,0
U_10000205,1,C_course-v1:TsinghuaX+30240184_2X+sp,16.349558153176957,0
U_10000205,2,C_course-v1:TsinghuaX+70150023X+sp,11.480221930730549,1
U_10000205,3,C_course-v1:TsinghuaX+00740043X_2015_T2+sp,8.71073269675351,0
U_10000205,4,C_course-v1:TsinghuaX+00740123_X+sp,8.003364613553497,0
U_10000205,5,C_course-v1:MITx+6_00_1x+sp,7.7369305622268065,0
U_10000205,6,C_course-v1:TsinghuaX+20440333X+sp,6.985225518865776,0
