user,rank,course,score,is_test_positive
U_10000168,1,C_course-v1:TsinghuaX+10421102x_2015_T2+sp,6.5464768409729,0
U_10000168,2,C_course-v1:MITx+6_00_1x+sp,6.437055587768555,0
U_10000168,3,C_course-v1:TsinghuaX+10421075X_2015_2+sp,6.305720329284668,0
U_10000168,4,C_course-v1:TsinghuaX+30700313X+sp,5.3018670082092285,0
U_10000168,5,C_course-v1:TsinghuaX+30240184+sp,5.2916693687438965,1
U_10000168,6,C_course-v1:TsinghuaX+90640012X+sp,5.245513439178467,0
U_10000168,7,C_course-v1:TsinghuaX+10421094X+2019_T1,5.1557464599609375,0
U_10000168,8,C_course-v1:TsinghuaX+00740043_1x+2019_T1,5.1522345542907715,0
U_10000168,9,C_course-v1:TsinghuaX+00690342X+sp,5.1221208572387695,0
U_10000168,10,C_course-v1:SEU+00690803+Sp,4.818276405334473,0
U_10000168,11,C_course-v1:HUBU+2017022703X+sp,4.604142189025879,0
U_10000168,12,C_course-v1:TsinghuaX+20250103X+sp,4.349730968475342,0
U_10000168,13,C_course-v1:TsinghuaX+30640014X+2019_T1,4.330724239349365,0
U_10000168,14,C_course-v1:TsinghuaX+10421084X_2015_2+sp,4.233763694763184,0
U_10000168,15,C_course-v1:TsinghuaX+20220332X+sp,4.045226097106934,0
U_10000168,16,C_course-v1:TsinghuaX+00690092X+2019_T1,4.026068210601807,0
U_10000168,17,C_course-v1:TsinghuaX+60240013X+sp,3.9685966968536377,0
U_10000168,18,C_course-v1:TsinghuaX+20330334X_2015_2+sp,3.9239728450775146,0
U_10000168,19,C_course-v1:TsinghuaX+30670043X+sp,3.7201356887817383,0
U_10000168,20,C_course-v1:UQx+Think101x+sp,3.649914264678955,0
U_10000205,1,C_course-v1:TsinghuaX+00740123_X+sp,7.674256324768066,0
U_10000205,2,C_course-v1:TsinghuaX+00701032X+sp,6.729330539703369,0
U_10000205,3,C_course-v1:NJU+C1026+2016_T2,6.390927791595459,0
U_10000205,4,C_course-v1:TsinghuaX+30240184_2X+sp,6.016777992248535,0
U_10000205,5,C_course-v1:BJUT+2140074001x+sp,5.454111576080322,0
U_10000205,6,C_course-v1:TsinghuaX+70120073X+sp,4.987578868865967,0
U_10000205,7,C_course-v1:MITx+6_00_1x+sp,4.89417028427124,0
U_10000205,8,C_course-v1:TsinghuaX+10421102x_2015_T2+sp,4.743436813354492,0
U_10000205,9,C_course-v1:SCUT+145055+sp,4.356659412384033,0
U_10000205,10,C_course-v1:TsinghuaX+70150023X+sp,4.277548789978027,1
U_10000205,11,C_course-v1:CUNY+20171211001+sp,4.247276306152344,0
U_10000205,12,C_course-v1:TsinghuaX+70240183x_1+2019_T1,4.214677810668945,0
U_10000205,13,C_course-v1:TsinghuaX+20430064X+sp,4.194923400878906,0
U_10000205,14,C_course-v1:TsinghuaX+00690092X+sp,4.181884288787842,0
U_10000205,15,C_course-v1:TsinghuaX+70250023X_2015_2+sp,4.055714130401611,0
U_10000205,16,C_course-v1:TsinghuaX+80150193X+sp,4.030370235443115,0
U_10000205,17,C_course-v1:UC_BerkeleyX+CS_184_1x+sp,3.976323366165161,0
U_10000205,18,C_course-v1:UQx+Crime101x+sp,3.9751198291778564,0
U_10000205,19,C_course-v1:BIT+BIT2016001+sp,3.967569351196289,0
U_10000205,20,C_course-v1:TsinghuaX+0350161X_2015_T2+sp,3.912841558456421,0
U_10000325,1,C_course-v1:SCUT+145055+sp,14.4719820022583,0
U_10000325,2,C_course-v1:TsinghuaX+30240184_2X+sp,9.089797019958496,0
U_10000325,3,C_course-v1:SCUT+145033+sp,8.37350082397461,1
U_10000325,4,C_course-v1:UC_BerkeleyX+CS_184_1x+sp,6.246024131774902,0
U_10000325,5,C_course-v1:UESTC+E2216230+2018_T2,5.2385382652282715,0
U_10000325,6,C_course-v1:TsinghuaX+00690092X+sp,4.327897071838379,0
U_10000325,7,C_course-v1:TsinghuaX+00740043_2x+2019_T1,4.304256916046143,0
U_10000325,8,C_course-v1:UQx+Think101x+sp,4.245018482208252,0
U_10000325,9,C_course-v1:XJTU+COMP200853+sp,4.157655239105225,0
U_10000325,10,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,4.0924859046936035,0
U_10000325,11,C_course-v1:XIYOU+20180208+sp,4.0743794441223145,0
U_10000325,12,C_course-v1:SICT+2017092601+sp,3.9659974575042725,0
U_10000325,13,C_course-v1:TsinghuaX+00740123_X+sp,3.9300999641418457,0
U_10000325,14,C_course-v1:NJU+C1026+2016_T2,3.922234535217285,0
U_10000325,15,C_course-v1:BerkeleyX+CS169_1X+sp,3.867417097091675,0
U_10000325,16,C_course-v1:BIT+PHY17016+sp,3.8479247093200684,0
U_10000325,17,C_course-v1:LinuxFoundationX+Linux001+sp,3.8469128608703613,0
U_10000325,18,C_course-v1:TsinghuaX+10421102x_2015_T2+sp,3.833993673324585,0
U_10000325,19,C_course-v1:TsinghuaX+70612463X+sp,3.7495806217193604,0
U_10000325,20,C_course-v1:TsinghuaX+20740084X+2019_T1,3.719285488128662,0
U_10000462,1,C_course-v1:GIT+0500002402+2019_T1,10.905570983886719,0
U_10000462,2,C_course-v1:UST+UST001+sp,9.980291366577148,0
U_10000462,3,C_course-v1:GIT+0500002402+2018_T2,7.676857948303223,0
U_10000462,4,C_course-v1:MITx+6_002x+sp,7.615172863006592,0
U_10000462,5,C_course-v1:NJU+2018032001X+sp,7.437118053436279,0
U_10000462,6,C_course-v1:TsinghuaX+20250064+sp,7.183216094970703,0
U_10000462,7,C_course-v1:XJTU+COMP200853+sp,6.574110984802246,0
U_10000462,8,C_course-v1:TsinghuaX+20250064X+sp,5.6652631759643555,0
U_10000462,9,C_course-v1:NJU+2018032002X+SP,5.149995803833008,0
U_10000462,10,C_course-v1:TsinghuaX+30700313X+2019_T1,5.137838363647461,0
U_10000462,11,C_course-v1:TsinghuaX+20250103X+sp,4.986386775970459,0
U_10000462,12,C_course-v1:TsinghuaX+AP201601X+2019_T1,4.975981712341309,0
U_10000462,13,C_course-v1:NCTU+lhtl+2019_T1,4.967962265014648,0
U_10000462,14,C_course-v1:TsinghuaX+80000271X+sp,4.694430351257324,0
U_10000462,15,C_course-v1:TsinghuaX+02070251X+sp,4.492425441741943,0
U_10000462,16,C_course-v1:TsinghuaX+10610183_2X+2019_T1,4.490941047668457,0
U_10000462,17,C_course-v1:TsinghuaX+JRFX01+2019_T1,4.4804253578186035,0
U_10000462,18,C_course-v1:TsinghuaX+AP000005X+2019_T1,4.405200958251953,0
U_10000462,19,C_course-v1:TsinghuaX+00690092X+sp,4.155402183532715,0
U_10000462,20,C_course-v1:TsinghuaX+00690092X+2019_T1,4.125590801239014,0
U_10000566,1,C_course-v1:TsinghuaX+30640014X+2019_T1,19.99139976501465,0
U_10000566,2,C_course-v1:TsinghuaX+90640012X+sp,8.755885124206543,0
U_10000566,3,C_course-v1:TsinghuaX+30700313X+sp,5.632888317108154,0
U_10000566,4,C_course-v1:ZUELX+B0800280+sp,3.1070640087127686,0
U_10000566,5,C_course-v1:ZUELX+B0800280+2018_T2,2.7600858211517334,0
U_10000566,6,C_course-v1:MITx+6_00_1x+sp,2.7566604614257812,0
U_10000566,7,C_course-v1:TsinghuaX+10421094X_2015_2+sp,2.230424404144287,0
U_10000566,8,C_course-v1:TsinghuaX+20220332X+sp,2.186549186706543,0
U_10000566,9,C_course-v1:HEBUT+20180301001+2019_T1,2.0779178142547607,0
U_10000566,10,C_course-v1:UQx+Think101x+sp,2.0652778148651123,0
U_10000566,11,C_course-v1:CQU+2017121401X+2019_T1,2.0461912155151367,0
U_10000566,12,C_course-v1:JNUX+07009156X+sp,1.9810847043991089,0
U_10000566,13,C_course-v1:TsinghuaX+70120073X+sp,1.9143569469451904,0
U_10000566,14,C_course-v1:HEBNU+2017011901X+sp,1.894407868385315,0
U_10000566,15,C_course-v1:TsinghuaX+90640012X_1+2019_T1,1.7745838165283203,0
U_10000566,16,C_course-v1:TsinghuaX+10421094X+2019_T1,1.6769160032272339,0
U_10000566,17,C_course-v1:TsinghuaX+00740043_1x+2019_T1,1.6717416048049927,0
U_10000566,18,C_course-v1:FZXY+20171127004+2019_T1,1.6709011793136597,0
U_10000566,19,C_course-v1:TsinghuaX+20330334X_2015_2+sp,1.6334054470062256,0
U_10000566,20,C_course-v1:USTC+SE20190403X+sp,1.60916006565094,0
U_10000598,1,C_course-v1:SCUT+145055+sp,8.7228364944458,0
U_10000598,2,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,8.609402656555176,1
U_10000598,3,C_course-v1:ZJFF+000516+sp,7.881481647491455,0
U_10000598,4,C_course-v1:UQx+Think101x+sp,7.704134941101074,0
U_10000598,5,C_course-v1:TsinghuaX+00740113_2X+sp,7.414216041564941,0
U_10000598,6,C_course-v1:TsinghuaX+00691153X+sp,7.281366348266602,0
U_10000598,7,C_course-v1:TsinghuaX+20120143X+sp,7.1477861404418945,0
U_10000598,8,C_course-v1:TsinghuaX+00740113_1X+sp,6.966767311096191,0
U_10000598,9,C_course-v1:TsinghuaX+THESIS2015X+2015_T1,6.622694492340088,0
U_10000598,10,C_course-v1:SCUT+145055+2018_T2,6.615260601043701,0
U_10000598,11,C_course-v1:TsinghuaX+00690212X+sp,6.395318031311035,0
U_10000598,12,C_course-v1:TsinghuaX+60240013X+sp,6.308582305908203,0
U_10000598,13,C_course-v1:TsinghuaX+30240243X+sp,6.025813579559326,0
U_10000598,14,C_course-v1:TsinghuaX+2018031601X+2019_T1,6.0082197189331055,0
U_10000598,15,C_course-v1:NJU+C1026+2016_T2,5.781380653381348,0
U_10000598,16,C_course-v1:TsinghuaX+70240183x_1+2019_T1,5.692827224731445,0
U_10000598,17,C_course-v1:TsinghuaX+80000901X_1+sp,5.678188323974609,0
U_10000598,18,C_course-v1:TsinghuaX+00690092X+sp,5.579578876495361,0
U_10000598,19,C_course-v1:BIT+PHY17016+sp,5.477688789367676,0
U_10000598,20,C_course-v1:TsinghuaX+70167012X+sp,5.4451003074646,0
U_10000657,1,C_course-v1:TsinghuaX+10421084X_2015_2+sp,15.818222045898438,1
U_10000657,2,C_course-v1:TsinghuaX+10421075X+2019_T1,9.125962257385254,0
U_10000657,3,C_course-v1:TsinghuaX+AP000005X+2019_T1,6.34046745300293,0
U_10000657,4,C_course-v1:TsinghuaX+10421094X+2019_T1,5.310866355895996,0
U_10000657,5,C_course-v1:TsinghuaX+THUSEM002+2019_T1,5.219240188598633,0
U_10000657,6,C_course-v1:qhnu+20181212x+2018_T2,4.985007286071777,0
U_10000657,7,C_course-v1:YSU+20180301002+2019_T1,4.926210880279541,0
U_10000657,8,C_course-v1:USTC+AP000011X+2019_T1,4.8248186111450195,0
U_10000657,9,C_course-v1:TsinghuaX+AP000004X+2019_T1,4.77677583694458,0
U_10000657,10,C_course-v1:TsinghuaX+AP000002X+2019_T1,4.773183822631836,0
U_10000657,11,C_course-v1:TsinghuaX+10421094X_2015_2+sp,4.517616271972656,0
U_10000657,12,C_course-v1:TsinghuaX+AP000003X+2019_T1,4.4895920753479,0
U_10000657,13,C_course-v1:TsinghuaX+AP201601X+2019_T1,4.42907190322876,0
U_10000657,14,C_course-v1:TsinghuaX+AP000013X+2019_T1,4.3224992752075195,0
U_10000657,15,C_course-v1:qhnu+20181212x+2019_T1,4.276882648468018,0
U_10000657,16,C_course-v1:CSU+20180918X+2018_T2,4.0349650382995605,0
U_10000657,17,C_course-v1:TsinghuaX+10610193X+2019_T1,3.671267509460449,0
U_10000657,18,C_course-v1:CQU+MATH20041X+2019_T1,3.6567797660827637,0
U_10000657,19,C_course-v1:TsinghuaX+30240532X+2019_T1,3.5403757095336914,0
U_10000657,20,C_course-v1:RUCX+AP000010X+2019_T1,3.4435276985168457,0
U_10000658,1,C_course-v1:TsinghuaX+AP000003X+2019_T1,8.512235641479492,1
U_10000658,2,C_course-v1:NBCC+NBCC000201+_sp,6.538534164428711,0
U_10000658,3,C_course-v1:SCUT+145033+sp,6.531423568725586,0
U_10000658,4,C_course-v1:TsinghuaX+20250103X+sp,6.042613506317139,0
U_10000658,5,C_course-v1:MITx+6_00_1x+sp,5.817145347595215,0
U_10000658,6,C_course-v1:TsinghuaX+AP000005X+2019_T1,5.589847564697266,0
U_10000658,7,C_course-v1:UST+UST001+sp,5.282787322998047,0
U_10000658,8,C_course-v1:CQU+MATH20041X+2019_T1,4.891769886016846,0
U_10000658,9,C_course-v1:CUNY+20171211001+sp,4.618677139282227,0
U_10000658,10,C_course-v1:UQx+Think101x+sp,4.332132816314697,0
U_10000658,11,C_course-v1:TsinghuaX+34100325_X+sp,4.286070346832275,0
U_10000658,12,C_course-v1:LinuxFoundationX+Linux001+sp,4.251939296722412,0
U_10000658,13,C_course-v1:TsinghuaX+81020142X+sp,4.143518447875977,0
U_10000658,14,C_course-v1:XIYOU+20180208+sp,4.031469345092773,0
U_10000658,15,C_course-v1:JXUST+JXUST2016001+2016_T2,4.010694980621338,0
U_10000658,16,C_course-v1:SCUT+145055+sp,3.8258001804351807,0
U_10000658,17,C_course-v1:TsinghuaX+70250023X_2015_2+sp,3.8213813304901123,0
U_10000658,18,C_course-v1:TsinghuaX+40250074X+2019_T1,3.752443790435791,0
U_10000658,19,C_course-v1:BJUT+2140074001x+sp,3.6030335426330566,0
U_10000658,20,C_course-v1:UESTC+E2216230+2018_T2,3.5727908611297607,0
U_10000719,1,C_course-v1:TsinghuaX+20440333X+sp,12.79244613647461,0
U_10000719,2,C_course-v1:TsinghuaX+00690863X+sp,11.896306037902832,0
U_10000719,3,C_course-v1:SEU+00690803+Sp,11.180875778198242,0
U_10000719,4,C_course-v1:TsinghuaX+00740123_X+sp,11.106358528137207,0
U_10000719,5,C_course-v1:TsinghuaX+00690302_1+sp,10.937812805175781,0
U_10000719,6,C_course-v1:HUBU+HU08002X+sp,10.691428184509277,0
U_10000719,7,C_course-v1:TsinghuaX+THU201605X+sp,10.650592803955078,0
U_10000719,8,C_course-v1:TsinghuaX+00690302_2+sp,10.112874031066895,0
U_10000719,9,C_course-v1:SEU+00690803+sp,10.066267013549805,0
