user,rank,course,score,is_test_positive
U_10000168,1,C_course-v1:TsinghuaX+10421075X_2015_2+sp,7.993577480316162,0
U_10000168,2,C_course-v1:TsinghuaX+30240184+sp,7.876502513885498,1
U_10000168,3,C_course-v1:MITx+6_00_1x+sp,7.306310653686523,0
U_10000168,4,C_course-v1:TsinghuaX+20430064X+sp,6.206532955169678,0
U_10000168,5,C_course-v1:TsinghuaX+20120143X+sp,6.04642915725708,0
U_10000168,6,C_course-v1:TsinghuaX+00740123_X+sp,5.945390224456787,0
U_10000168,7,C_course-v1:TsinghuaX+30240243X+sp,5.5436110496521,0
U_10000168,8,C_course-v1:TsinghuaX+30700313X+sp,5.491998672485352,0
U_10000168,9,C_course-v1:TsinghuaX+60240013X+sp,5.4565558433532715,0
U_10000168,10,C_course-v1:TsinghuaX+90640012X+sp,5.4043049812316895,0
U_10000168,11,C_course-v1:TsinghuaX+34000888X+sp,5.376720428466797,0
U_10000168,12,C_course-v1:TsinghuaX+20220332X+sp,5.239402770996094,0
U_10000168,13,C_course-v1:TsinghuaX+20250103X+sp,5.216560363769531,0
U_10000168,14,C_course-v1:TsinghuaX+20220053X_2015_T2+sp,5.113751411437988,0
U_10000168,15,C_course-v1:TsinghuaX+00740043_2x_2015_T2+sp,5.108190536499023,0
U_10000168,16,C_course-v1:TsinghuaX+10421084X_2015_2+sp,4.889685153961182,0
U_10000168,17,C_course-v1:TsinghuaX+20330334X_2015_2+sp,4.859905242919922,0
U_10000168,18,C_course-v1:BIT+PHY1701702+sp,4.713287830352783,0
U_10000168,19,C_course-v1:TsinghuaX+30240184_2X+sp,4.618960857391357,0
U_10000168,20,C_course-v1:TsinghuaX+00740043_1x+2019_T1,4.454013347625732,0
U_10000205,1,C_course-v1:NJU+C1026+2016_T2,6.054824352264404,0
U_10000205,2,C_course-v1:TsinghuaX+60240202X+sp,5.463947772979736,0
U_10000205,3,C_course-v1:TsinghuaX+00690242+sp,5.394458293914795,0
U_10000205,4,C_course-v1:BJUT+2140074001x+sp,5.178412437438965,0
U_10000205,5,C_course-v1:MITx+6_00_1x+sp,5.128422260284424,0
U_10000205,6,C_course-v1:TsinghuaX+00740123_X+sp,5.1279096603393555,0
U_10000205,7,C_course-v1:TsinghuaX+10421094X_2015_2+sp,5.087522983551025,0
U_10000205,8,C_course-v1:TsinghuaX+00690092X+sp,5.0667033195495605,0
U_10000205,9,C_course-v1:SCUT+145033+sp,4.913903713226318,0
U_10000205,10,C_course-v1:TsinghuaX+34100325_X+sp,4.9128804206848145,0
U_10000205,11,C_course-v1:MicrosoftX+Microsoft101+sp,4.856622219085693,0
