user_group,model,users,HR@20,NDCG@20
0 次历史,EASE,1064,0.6165413533834586,0.2508271402679698
1 次历史,EASE,19893,0.6669682802996029,0.4167506320372905
2 次历史,EASE,10716,0.6918626353116835,0.40974523719783984
3-4 次历史,EASE,11503,0.7052073372163783,0.40209957327459267
5 次及以上,EASE,12726,0.7116925978312116,0.365625026737186
0 次历史,RP3,1064,0.6165413533834586,0.2508271402679698
1 次历史,RP3,19893,0.6901422610968683,0.4296237649788233
2 次历史,RP3,10716,0.6990481522956327,0.4121798975171452
3-4 次历史,RP3,11503,0.7032078588194384,0.4012368770830352
5 次及以上,RP3,12726,0.695976740531196,0.35136565180158785
0 次历史,RKF-M,1064,0.6165413533834586,0.2508271402679698
1 次历史,RKF-M,19893,0.6806414316593776,0.425285693744676
2 次历史,RKF-M,10716,0.6967151922359089,0.41396944505247124
3-4 次历史,RKF-M,11503,0.7102495001304008,0.407490728991614
5 次及以上,RKF-M,12726,0.70996385352821,0.36612283148329505
0 次历史,RAKF-M-G,1064,0.6165413533834586,0.2508271402679698
1 次历史,RAKF-M-G,19893,0.6901422610968683,0.4296237649788233
2 次历史,RAKF-M-G,10716,0.6989548338932438,0.4140887915044816
3-4 次历史,RAKF-M-G,11503,0.7068590802399374,0.4062649177694962
5 次及以上,RAKF-M-G,12726,0.7150715071507151,0.3718675201890873
