reg,HR@10,HR@20,NDCG@10,NDCG@20,Recall@10,Recall@20,evaluated_users,candidate_courses,mask_train_positives
100,0.5785660620371365,0.6879896962541591,0.36966378880017187,0.3993348346273674,0.5353034245647517,0.6468653575498118,55902,698,1
150,0.5787807234088226,0.6882580229687668,0.3694956382878536,0.39920290844630973,0.5354457523930298,0.6471141205494599,55902,698,1
50,0.5782440699796072,0.6874530428249437,0.36948252382720176,0.3991077913206154,0.5349624579752611,0.6463640398111861,55902,698,1
200,0.5789953847805087,0.6883832421022503,0.36923949475785506,0.3989724178254416,0.5356317922484913,0.64735407375174,55902,698,1
300,0.579281599942757,0.6889377839791063,0.36879989827773274,0.3986504104645925,0.5357966144174456,0.6480783003319293,55902,698,1
400,0.5793889306286001,0.6888304532932632,0.368291565617667,0.3980912116354789,0.535958193175944,0.6480269491294561,55902,698,1
500,0.5790669385710708,0.6888304532932632,0.3676471480631054,0.3975962549427014,0.5355401232371054,0.6481061268060365,55902,698,1
700,0.5783156237701692,0.689134556903152,0.36666046609568065,0.39685114178669834,0.5349210322080904,0.6483968730530992,55902,698,1
1000,0.5777253049980323,0.689134556903152,0.36581172021769015,0.39614160990594655,0.534454740006261,0.6484465631854343,55902,698,1
1500,0.5762405638438697,0.6889377839791063,0.36371476162077265,0.3943663689124012,0.5329760952505419,0.6481213335253865,55902,698,1
2000,0.5744696075274588,0.6886694572644986,0.3621262523251624,0.3931289956075214,0.5312760254572019,0.6478268141045385,55902,698,1
3000,0.5727880934492505,0.6876677041966298,0.3600548302037474,0.39120852210287443,0.5295572147400548,0.6467071524262997,55902,698,1
5000,0.5697828342456441,0.685968301670781,0.3563370142724837,0.38768486697672744,0.5268388526101331,0.6447936906182901,55902,698,1
