alpha,beta,topk,HR@10,HR@20,NDCG@10,NDCG@20,Recall@10,Recall@20,evaluated_users,candidate_courses,mask_train_positives
0.9,0.2,300,0.581302994526135,0.694465314300025,0.3685552398817227,0.39922028724683173,0.5385870191653731,0.6538532718751203,55902,698,1
0.9,0.2,100,0.5765804443490394,0.6833029229723444,0.3675699697417457,0.3966593853603259,0.5339083644020377,0.6430366038377803,55902,698,1
0.7,0.2,100,0.5766519981396014,0.6889198955314658,0.3644534569755207,0.3949449292553096,0.53399433769843,0.6486976294717842,55902,698,1
0.7,0.2,300,0.5770634324353333,0.6915137204393402,0.3639125802946484,0.39490018170069185,0.5343979848405661,0.650921495409828,55902,698,1
0.7,0.4,300,0.5740402847840864,0.6924260312690065,0.36168994930855425,0.39383652670006114,0.5313258734959414,0.6521792511459577,55902,698,1
0.9,0.4,300,0.5742191692604915,0.6917283818110265,0.36139380936708726,0.3931875355129889,0.5316136528622077,0.6511831218318891,55902,698,1
0.7,0.4,100,0.5724482129440807,0.6877034810919108,0.3615256155981579,0.39272810223597526,0.5302441128617498,0.6474473328794814,55902,698,1
0.5,0.4,300,0.5689241887588995,0.6884905727880934,0.35687158717957107,0.3891619012210448,0.5265834459752596,0.6480340924312734,55902,698,1
0.5,0.4,100,0.5684233122249651,0.6843762298307753,0.3569256572708983,0.38841607829476693,0.5259210203678409,0.6442193475960036,55902,698,1
0.9,0.4,100,0.5670459017566456,0.6771671854316482,0.3583911277705415,0.3880428098416961,0.5250886556641685,0.6364424304301761,55902,698,1
0.5,0.2,300,0.5679224356910307,0.6851275446316769,0.35620794599003225,0.3877708605039301,0.5256229144214578,0.6443317755164693,55902,698,1
0.5,0.2,100,0.5681728739579979,0.6827841579907695,0.35675893217937316,0.38775729874064546,0.52569808849309,0.6422625844541188,55902,698,1
0.5,0.6,300,0.5416979714500376,0.6615147937461987,0.3351860223248844,0.36725745085721123,0.5001687037721732,0.6211213544955169,55902,698,1
0.7,0.6,300,0.5427712783084684,0.6639118457300276,0.33493594098288837,0.36721919157921246,0.5014930840797844,0.6232065812734303,55902,698,1
0.5,0.6,100,0.5410539873349791,0.6591177417623698,0.3349003426087269,0.36649398275227574,0.4996821870411572,0.6187601398515683,55902,698,1
0.7,0.6,100,0.5414296447354299,0.6602089370684412,0.3344560895375267,0.3660918100615612,0.5003991545257822,0.6195096971629764,55902,698,1
0.9,0.6,300,0.535723229938106,0.6589567457336052,0.3281100985467382,0.36069818894414774,0.49551757115461,0.6183072067499815,55902,698,1
0.9,0.6,100,0.5306786877034811,0.6470788165003041,0.32608395882768204,0.3567511134553148,0.4911948162832056,0.606539108824779,55902,698,1
0.5,0.8,100,0.4663160530929126,0.5775285320739866,0.27235053298134704,0.30140374748970333,0.42879101341849707,0.5378248031460214,55902,698,1
0.5,0.8,300,0.46586884190189976,0.5776895281027512,0.2720113967517724,0.30123643502655983,0.42816794448078827,0.5378864173712614,55902,698,1
0.7,0.8,100,0.4641336624807699,0.5772780938070194,0.26950424174329535,0.298947967968075,0.4274409510213446,0.5378843133268942,55902,698,1
0.7,0.8,300,0.46234481771671854,0.5758649064434188,0.26837226928494334,0.2980162768143928,0.42534489234062667,0.5365526102992084,55902,698,1
0.9,0.8,300,0.45272083288612214,0.5678151050051876,0.26229373636565284,0.2919408322617852,0.4175557565998971,0.5289091312635402,55902,698,1
0.9,0.8,100,0.4521662910092662,0.5652749454402347,0.2625920347569028,0.2916596161370635,0.4173706914354932,0.526664378989272,55902,698,1
